,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T08:05:48.128+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,138,40,0,4,-1,86,287,52.216.32.138,,556,,
1,,2019-10-12T08:05:48.601+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,7,31,0,1,-1,4,329,52.216.32.138,,374,,
2,,2019-10-12T08:05:48.602+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,138,24,0,1,-1,3,298,52.216.32.138,,465,,
3,,2019-10-12T08:05:48.602+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,1,30,0,2,-1,3,315,52.216.32.138,,353,,
4,,2019-10-12T08:05:48.604+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,138,30,0,2,-1,3,315,52.216.32.138,,489,,
5,,2019-10-12T08:05:48.605+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,311,30,0,2,-1,2,298,52.216.32.138,,644,,
6,,2019-10-12T08:05:48.706+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,0,-1,-1,0,-1,-1,319,52.216.32.138,,320,,
7,,2019-10-12T08:05:48.961+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,27,-1,-1,0,-1,-1,433,52.216.32.138,,461,,
8,,2019-10-12T08:05:48.998+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,168,-1,-1,0,-1,-1,335,52.216.32.138,,504,,
9,,2019-10-12T08:05:49.030+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,417,-1,-1,0,-1,-1,182,52.216.32.138,,599,,
10,,2019-10-12T08:05:49.071+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,0,-1,-1,0,-1,-1,342,52.216.32.138,,343,,
11,,2019-10-12T08:05:49.163+03:00,GET,http://weavesilk.com/js/noise.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,8599,,,2,-1,-1,0,-1,-1,338,52.216.32.138,,341,,
12,,2019-10-12T08:05:49.259+03:00,GET,http://weavesilk.com/js/detect.js,HTTP/1.1,316,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,2930,,,0,-1,-1,0,-1,-1,318,52.216.32.138,,319,,
13,,2019-10-12T08:05:49.417+03:00,GET,http://weavesilk.com/js/site.js,HTTP/1.1,314,0,,200,OK,HTTP/1.1,0,text/javascript,,,344,97870,,,288,-1,-1,0,-1,-1,193,52.216.32.138,,482,,
14,,2019-10-12T08:05:49.582+03:00,GET,http://weavesilk.com/img/announcement.png,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,image/png,,,371,110729,,,407,-1,-1,0,-1,-1,184,52.216.32.138,,592,,
15,,2019-10-12T08:05:49.907+03:00,GET,http://weavesilk.com/img/announcement_hover.png,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/png,,,371,110451,,,148,-1,-1,0,-1,-1,212,52.216.32.138,,360,,
16,,2019-10-12T08:05:49.907+03:00,GET,http://weavesilk.com/img/silk_text.png,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,image/png,,,370,25288,,,13,-1,-1,0,-1,-1,192,52.216.32.138,,206,,
17,,2019-10-12T08:05:49.907+03:00,GET,http://weavesilk.com/img/draw_something.png,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,image/png,,,370,13629,,,5,-1,-1,0,-1,-1,206,52.216.32.138,,212,,
18,,2019-10-12T08:05:50.037+03:00,GET,http://platform.twitter.com/widgets.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,506,28700,,,44,61,0,0,-1,55,83,93.184.220.66,,245,,
19,,2019-10-12T08:05:50.637+03:00,GET,http://weavesilk.com/font/DINWeb.woff,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,554,30972,,,113,-1,-1,0,-1,-1,222,52.216.32.138,,335,,
20,,2019-10-12T08:05:50.637+03:00,GET,http://weavesilk.com/font/ss-social/ss-social-regular.woff,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,553,9764,,,5,-1,-1,0,-1,-1,201,52.216.32.138,,207,,
21,,2019-10-12T08:05:50.637+03:00,GET,http://weavesilk.com/font/fontawesome-webfont.woff?v=3.0.1,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,554,29380,,,127,-1,-1,0,-1,-1,206,52.216.32.138,,334,value,
22,,2019-10-12T08:05:51.024+03:00,GET,http://yurivish.com/Silk%20Static/Silkura%20-May%2002%20-loop.m4a,HTTP/1.1,370,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Silkura%20-May%2002%20-loop.m4a,264,246,,,0,25,0,1,-1,90,341,74.208.236.11,,459,,
23,,2019-10-12T08:05:51.024+03:00,GET,http://yurivish.com/Silk%20Static/Startup%201%2016-44.m4a,HTTP/1.1,362,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Startup%201%2016-44.m4a,256,238,,,0,22,0,0,-1,93,342,74.208.236.11,,459,,
24,,2019-10-12T08:05:52.978+03:00,GET,http://yurivish.com/Silk%20Static/Startup%201%2016-44.ogg,HTTP/1.1,362,0,,302,Found,HTTP/1.1,0,text/html;charset=iso-8859-1,,http://127.0.0.1/Silk%20Static/Startup%201%2016-44.ogg,256,238,,,0,-1,-1,0,-1,-1,209,74.208.236.11,,210,,
