,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-12T08:02:40.908+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2491,8574,,,309,1829,3,70,9,1866,0,108.174.11.65,,2259,
1,,2019-10-12T08:02:42.607+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,767,14780,,,619,1194,1,124,0,1220,0,212.55.190.51,,1965,
2,,2019-10-12T08:02:42.637+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,22839,,,161,1223,1,126,3,1249,0,212.55.190.51,,1542,
3,,2019-10-12T08:02:42.638+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,804,13167,,,849,1217,0,124,1,1251,0,212.55.190.51,,2226,
4,,2019-10-12T08:02:43.245+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,129,-1,0,-1,0,-1,-1,212.55.190.51,,130,
5,,2019-10-12T08:02:43.515+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,212.55.190.51,,0,No response received
6,,2019-10-12T08:02:43.516+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,202,,,40,-1,0,-1,0,-1,-1,212.55.190.51,,42,
7,,2019-10-12T08:02:43.520+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,315,,,36,-1,0,-1,0,-1,-1,212.55.190.51,,38,
8,,2019-10-12T08:02:43.550+03:00,GET,https://www.linkedin.com/litms/api/metadata/user,HTTP/1.1,669,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,108.174.11.65,,0,No response received
9,,2019-10-12T08:02:43.564+03:00,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,212.55.190.51,,0,No response received
