,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:33:51.422+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,2676,296,0,324,127,2,2634,165.227.192.63,,3428,
1,,2019-10-09T18:33:52.193+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,-1,10,-1,164,-1,1,-1,165.227.192.63,,176,
2,,2019-10-09T18:33:52.221+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,294,1,0,173,0,1,264,165.227.192.63,,470,
3,,2019-10-09T18:33:52.234+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,294,258,0,295,0,1,258,165.227.192.63,,849,
4,,2019-10-09T18:33:52.286+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,343,20,0,298,0,1,300,165.227.192.63,,663,
5,,2019-10-09T18:33:52.287+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,346,133,0,305,0,1,311,165.227.192.63,,787,
6,,2019-10-09T18:33:54.571+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,2398,147,0,337,130,1,2354,104.131.95.55,,3014,
7,,2019-10-09T18:33:54.571+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,2398,148,0,336,126,1,2359,104.131.95.55,,3011,
8,,2019-10-09T18:33:54.571+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,2398,174,0,311,127,0,2359,104.131.95.55,,3012,
9,,2019-10-09T18:33:54.617+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,2781,22,0,101,30,0,2738,172.217.22.110,,2937,
