,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.wait,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:44:26.157+03:00,GET,https://thisissand.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,250,5447,,,35,2616,0,2566,227,199,2,198.58.116.172,,3081,,
1,,2019-10-12T15:44:26.456+03:00,GET,https://thisissand.com/dist/bundle.min.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css,,,235,52817,,,305,-1,-1,-1,231,-1,2,198.58.116.172,,538,,
2,,2019-10-12T15:44:26.993+03:00,GET,https://thisissand.com/dist/bundle.min.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,251,976080,,,681,-1,-1,-1,207,-1,0,198.58.116.172,,889,,
3,,2019-10-12T15:44:27.118+03:00,GET,https://thisissand.com/assets/images/appStoreBadge.png,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,image/png,,,234,3531,,,0,661,0,631,196,0,1,198.58.116.172,,859,,
4,,2019-10-12T15:44:27.118+03:00,GET,https://thisissand.com/assets/images/playStoreBadge.png,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/png,,,235,8120,,,0,661,0,631,201,0,0,198.58.116.172,,864,,
5,,2019-10-12T15:44:27.321+03:00,GET,https://thisissand.com/assets/images/instagram.png,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,image/png,,,234,2731,,,0,-1,-1,-1,198,-1,0,198.58.116.172,,199,,
6,,2019-10-12T15:44:27.321+03:00,GET,https://thisissand.com/assets/images/facebook.png,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/png,,,234,2236,,,0,-1,-1,-1,195,-1,0,198.58.116.172,,196,,
7,,2019-10-12T15:44:27.524+03:00,GET,https://thisissand.com/assets/images/twitter.png,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,image/png,,,234,2605,,,0,-1,-1,-1,228,-1,0,198.58.116.172,,229,,
8,,2019-10-12T15:44:27.524+03:00,GET,https://thisissand.com/assets/images/tumblr.png,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/png,,,234,2344,,,0,-1,-1,-1,228,-1,0,198.58.116.172,,229,,
9,,2019-10-12T15:44:29.134+03:00,GET,https://d2wy8f7a9ursnm.cloudfront.net/bugsnag-2.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,541,2962,,,0,2599,0,2570,101,84,0,99.86.255.188,,2786,,
10,,2019-10-12T15:44:29.264+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,564,-1,-1,-1,228,-1,38,198.58.116.172,,831,,
11,,2019-10-12T15:44:29.264+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,729,-1,-1,-1,366,-1,0,198.58.116.172,,1097,,
12,,2019-10-12T15:44:29.562+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,3,-1,-1,-1,378,-1,0,198.58.116.172,,383,,
13,,2019-10-12T15:44:29.562+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,3,669,0,639,383,0,0,198.58.116.172,,1058,,
14,,2019-10-12T15:44:31.409+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,28,3502,0,3472,92,0,0,172.217.22.110,,3625,,
15,,2019-10-12T15:44:31.550+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1375219751&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAAAB~&jid=2104183082&gjid=1821477759&cid=1970501255.1570884272&tid=UA-8120964-1&_gid=925532238.1570884272&_r=1&z=1815487016,HTTP/1.1,668,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,1,-1,-1,-1,104,-1,0,172.217.22.110,,106,value,
16,,2019-10-12T15:44:31.565+03:00,GET,https://api.thisissand.com/v2/pieces?filterGte[createdAt]=2019-10-12T00:00:00.000Z&filterLte[createdAt]=2019-10-12T23:59:59.999Z&itemsPerPage=18&orderBy=popularity&orderDir=desc,HTTP/1.1,520,0,,0,,unknown,0,,,,-1,-1,,,0,1931,0,1898,0,88,0,198.58.116.172,,2021,value,No response received
