,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,timings.ssl,serverIPAddress,comment,time,request.queryString.name
11,,2019-10-09T18:12:43.314+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.js/0133848fb6ad.js,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,28874,,,102,-1,0,-1,-1,271,-1,157.240.1.174,,375,
12,,2019-10-09T18:12:43.319+03:00,GET,https://www.instagram.com/static/bundles/metro/Polyfills.js/33e6af7a86cf.js,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,12081,,,94,-1,0,-1,-1,5,-1,157.240.1.174,,100,
13,,2019-10-09T18:12:43.373+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.js/30df47b0398d.js,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,107785,,,96,-1,0,-1,-1,354,-1,157.240.1.174,,452,
14,,2019-10-09T18:12:43.423+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.css/a9197db45b1a.css,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/css,,,349,16126,,,82,-1,0,-1,-1,1207,-1,157.240.1.174,,1290,
15,,2019-10-09T18:12:44.019+03:00,POST,https://www.instagram.com/qp/batch_fetch_web/,HTTP/1.1,725,5193,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2191,93,,,224,-1,0,-1,-1,0,-1,157.240.1.174,,226,
16,,2019-10-09T18:12:44.031+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot1.jpg/d6bf0c928b5a.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,41581,,,97,-1,0,-1,-1,342,-1,157.240.1.174,,440,
17,,2019-10-09T18:12:44.031+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot2.jpg/6f03eb85463c.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,31724,,,111,-1,0,-1,-1,1250,-1,157.240.1.174,,1362,
18,,2019-10-09T18:12:44.032+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot3.jpg/f0c687aa6ec2.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,23440,,,93,-1,0,-1,-1,346,-1,157.240.1.174,,440,
19,,2019-10-09T18:12:44.032+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot4.jpg/842fe5699220.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,26079,,,102,-1,0,-1,-1,166,-1,157.240.1.174,,270,
20,,2019-10-09T18:12:44.251+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_android_english-en.png/e9cd846dc748.png,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,image/png,,,349,9799,,,96,-1,0,-1,-1,85,-1,157.240.1.174,,183,
21,,2019-10-09T18:12:44.308+03:00,GET,https://www.instagram.com/static/bundles/metro/sprite_core_4f48d3d2062b.png/4f48d3d2062b.png,HTTP/1.1,601,0,,200,OK,HTTP/1.1,0,image/png,,,350,74401,,,86,-1,0,-1,-1,163,-1,157.240.1.174,,249,
22,,2019-10-09T18:12:44.437+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_ios_english-en.png/180ae7a0bcf7.png,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,image/png,,,349,3522,,,89,-1,0,-1,-1,2,-1,157.240.1.174,,92,
23,,2019-10-09T18:12:44.476+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot5.jpg/0a2d3016f375.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,34240,,,140,-1,0,-1,-1,132,-1,157.240.1.174,,273,
24,,2019-10-09T18:12:44.476+03:00,GET,https://www.instagram.com/static/images/homepage/home-phones.png/43cc71bb1b43.png,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,image/png,,,351,109678,,,139,-1,0,-1,-1,421,-1,157.240.1.174,,562,
25,,2019-10-09T18:12:45.590+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1779,,,99,20,0,0,1623,1,1596,157.240.1.23,,1745,
26,,2019-10-09T18:12:45.936+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=9f17e148e46c2834ceeaf51e48297d7b&ua=modern_es6,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,94,0,0,0,237,100,202,157.240.1.23,,432,value
