,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T19:22:59.103+03:00,GET,https://pagead2.googlesyndication.com/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,1360,0,,0,,unknown,0,,,,-1,-1,,No response received,,-1,0,-1,1,0,-1,-1,172.217.16.162,,1,
1,,2019-09-28T19:22:59.188+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssSzbwppJdwsl_J44Mp7MNIZAtwdCKzXyLHiq948h0m-B-OuD1FD4iraq-9apI1nETEHJ2xru6AjKlswbTQKMkITN6hu7f2FHEGAR4q4UV4svkCGFc&sai=AMfl-YQm_ghgoGobbcWL-vkdlzpu0aXmLjjFoyRY6SqVizGJjTShVnoVquHGKcwXvm-Y1QFMOGdZu1csVxbP&sig=Cg0ArKJSzPZ_eZnvGpu8EAE&adk=3427189877&tt=-1&bs=779%2C600&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=994,523,1594,778&mcvt=0&rs=1&ht=0&mc=0&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=61&niot_cbk=148&md=2&lm=2&rst=1569687765493&dlt=416&rpt=4431&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C2000&ss=800%2C600&pt=-1&bin=1&deb=1-2-2-130-90-87-191-88-0-0-0&tvt=9415&r=u&id=osdtos&vs=3&za=0-0-0&uc=87&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=255x510&itpl=4&v=20190927",HTTP/1.1,2007,0,,200,OK,HTTP/1.1,0,image/gif,,,712,42,,,,-1,102,-1,1,0,-1,-1,172.217.16.162,,105,value
2,,2019-09-28T19:22:59.244+03:00,GET,https://fonts.googleapis.com/css?family=Noto+Sans%3A300%2C400%2C600%2C700%2C400italic%7CLato%3A300%2C400%2C600%2C700%2C400italic%7CCabin%3A300%2C400%2C600%2C700%2C400italic&subset=latin%2Clatin-ext%2Ccyrillic-ext%2Cgreek-ext%2Ccyrillic,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,1033,,,,-1,159,-1,0,1,-1,-1,216.58.207.74,,161,value
3,,2019-09-28T19:22:59.502+03:00,GET,http://www.foddy.net/wp/wp-content/cache/minify/47d3a.js,HTTP/1.1,499,0,,304,Not Modified,HTTP/1.1,0,,,,451,0,,,,-1,90,-1,0,0,-1,-1,104.28.23.57,,91,
4,,2019-09-28T19:22:59.756+03:00,POST,http://www.foddy.net/wp/wp-admin/admin-ajax.php,HTTP/1.1,554,49,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,657,2503,,,,-1,495,-1,0,7,-1,-1,104.28.23.57,,502,
5,,2019-09-28T19:22:59.802+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.foddy.net,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,,-1,95,-1,0,1,-1,-1,172.217.21.194,,96,value
6,,2019-09-28T19:22:59.805+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.foddy.net,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,724,104,,,,-1,91,-1,0,1,-1,-1,216.58.210.2,,93,value
7,,2019-09-28T19:22:59.959+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20190924/r20190131/zrt_lookup.html,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,814,7315,,,,-1,86,-1,1,14,-1,-1,216.58.210.2,,102,
8,,2019-09-28T19:23:00.031+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8783609410325228&output=html&h=600&twa=1&slotname=8109438796&adk=3427189877&adf=460500715&w=255&fwrn=4&fwrnh=100&lmt=1569686102&guci=2.2.0.0.2.2.0.0&format=255x600&url=http%3A%2F%2Fwww.foddy.net%2F2010%2F10%2Fqwop%2F&flash=0&fwr=0&rh=600&rw=255&wgl=1&dt=1569687779802&bpp=153&bdt=596&fdt=162&idt=167&shv=r20190924&cbv=r20190131&saldr=aa&abxe=1&correlator=3367311278341&frm=20&pv=2&ga_vid=364978034.1569687780&ga_sid=1569687780&ga_hid=1612728303&ga_fc=0&iag=0&icsg=16299&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=523&ady=993&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064653%2C151527007%2C332260032%2C332260042&oid=3&pvsid=2285623970654311&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CleEbr%7C&abl=CS&pfx=0&fu=16&bc=23&ifi=1&uci=1.mh77xfg46bdg&xpc=aAF2LiFtm9&p=http%3A//www.foddy.net&dtd=220,HTTP/1.1,1516,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,670,14002,,,,-1,491,-1,1,18,-1,-1,216.58.210.2,,511,value
9,,2019-09-28T19:23:00.097+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8783609410325228&output=html&adk=1812271804&adf=3025194257&lmt=1569686102&plat=1%3A8%2C2%3A16777224%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=http%3A%2F%2Fwww.foddy.net%2F2010%2F10%2Fqwop%2F&ea=0&flash=0&pra=7&wgl=1&dt=1569687780043&bpp=23&bdt=837&fdt=25&idt=25&shv=r20190924&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=255x600&nras=1&correlator=3367311278341&frm=20&pv=1&ga_vid=364978034.1569687780&ga_sid=1569687780&ga_hid=1612728303&ga_fc=0&iag=0&icsg=49067&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064653%2C151527007%2C332260032%2C332260042&oid=3&pvsid=2285623970654311&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=23&ifi=1&uci=1.w5wy0a4paxj2&dtd=43,HTTP/1.1,1508,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,644,0,,,,-1,142,-1,1,0,-1,-1,216.58.210.2,,144,value
