,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,response._error
0,,2019-10-09T19:07:16.665+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,914,22632,,,0,1109,53,3,95,3001,1069,23.55.0.237,,4262,
1,,2019-10-09T19:07:19.737+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,6862,,,-1,-1,0,2,-1,145,-1,23.55.0.237,,148,
2,,2019-10-09T19:07:19.891+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,22144,,,-1,-1,2,0,-1,205,-1,23.55.0.237,,209,
3,,2019-10-09T19:07:19.912+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,21576,,,0,168,1,3,0,165,132,23.55.0.237,,339,
4,,2019-10-09T19:07:19.915+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,545,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1126,24399,,,0,177,9,1,0,179,134,23.55.0.237,,368,
5,,2019-10-09T19:07:19.915+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,738,,,0,172,1,1,0,110,135,23.55.0.237,,286,
6,,2019-10-09T19:07:19.918+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,548,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1128,348718,,,0,175,299,1,0,178,138,23.55.0.237,,653,
7,,2019-10-09T19:07:19.924+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1123,4918,,,0,181,3,1,0,124,143,23.55.0.237,,310,
8,,2019-10-09T19:07:20.041+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,206694,,,-1,-1,242,2,-1,128,-1,23.55.0.237,,373,
9,,2019-10-09T19:07:20.066+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,214320,,,-1,-1,220,0,-1,148,-1,23.55.0.237,,369,
