,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T17:44:36.409+03:00,GET,https://theuselessweb.com/,HTTP/1.1,676,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,429,2122,,,-1,1,-1,-1,0,104,-1,142.93.108.123,,106,
1,,2019-10-08T17:44:36.538+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,582,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,451,1176,,,-1,0,-1,-1,1,123,-1,142.93.108.123,,125,
2,,2019-10-08T17:44:36.541+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,-1,29,-1,-1,0,97,-1,172.217.22.66,,126,
3,,2019-10-08T17:44:36.541+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,-1,0,-1,-1,0,92,-1,216.58.207.42,,93,value
4,,2019-10-08T17:44:36.637+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,-1,0,-1,-1,0,103,-1,216.58.207.42,,104,value
5,,2019-10-08T17:44:36.667+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,632,0,,304,Not Modified,HTTP/1.1,0,,,,296,0,,,-1,0,-1,-1,0,101,-1,142.93.108.123,,102,value
6,,2019-10-08T17:44:36.772+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,628,0,,304,Not Modified,HTTP/1.1,0,,,,296,0,,,-1,0,-1,-1,0,104,-1,142.93.108.123,,105,
7,,2019-10-08T17:44:36.911+03:00,GET,https://www.facebook.com/plugins/like.php?href=https%3A%2F%2Ftheuselessweb.com&width&layout=button_count&action=like&show_faces=false&share=false&height=21,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,14188,,,-1,6,-1,-1,0,253,-1,31.13.92.36,,260,value
8,,2019-10-08T17:44:36.911+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,-1,35,-1,-1,0,85,-1,93.184.220.66,,121,
9,,2019-10-08T17:44:36.913+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,-1,0,-1,-1,0,93,-1,172.217.22.66,,94,value
10,,2019-10-08T17:44:36.913+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,-1,0,-1,-1,0,95,-1,172.217.22.66,,96,value
