,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T20:05:02.449+03:00,GET,http://youarelistening.to/,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,216,3758,,,22,63,0,744,3,31,-1,69.163.153.84,,865,,
1,,2019-10-08T20:05:03.365+03:00,GET,http://youarelistening.to/css/style.css,HTTP/1.1,347,0,,200,OK,HTTP/1.1,0,text/css,,,325,2286,,,0,-1,-1,51,4,-1,-1,69.163.153.84,,56,,
2,,2019-10-08T20:05:03.369+03:00,GET,http://code.jquery.com/ui/1.10.4/themes/smoothness/jquery-ui.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,392,7336,,,1,39,0,29,1,42,-1,209.197.3.24,,114,,
3,,2019-10-08T20:05:03.374+03:00,GET,http://youarelistening.to/images/button_back.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,285,906,,,1,44,0,31,0,2,-1,69.163.153.84,,80,,
4,,2019-10-08T20:05:03.374+03:00,GET,http://code.jquery.com/jquery-2.1.0.min.js,HTTP/1.1,332,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,445,29288,,,38,39,0,30,2,37,-1,209.197.3.24,,147,,
5,,2019-10-08T20:05:03.374+03:00,GET,http://code.jquery.com/ui/1.10.4/jquery-ui.min.js,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,445,61269,,,101,39,0,31,2,37,-1,209.197.3.24,,211,,
6,,2019-10-08T20:05:03.375+03:00,GET,http://w.soundcloud.com/player/api.js,HTTP/1.1,328,0,,301,Moved Permanently,HTTP/1.1,0,,,https://w.soundcloud.com/player/api.js,387,0,,,0,25,0,112,0,92,-1,13.224.132.108,,231,,
7,,2019-10-08T20:05:03.376+03:00,GET,http://connect.soundcloud.com/sdk.js,HTTP/1.1,333,0,,200,OK,HTTP/1.1,0,application/javascript,,,634,11652,,,2,25,0,126,0,159,-1,13.224.132.11,,314,,
8,,2019-10-08T20:05:03.377+03:00,GET,http://youarelistening.to/images/button_pause.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,285,680,,,0,33,0,40,0,0,-1,69.163.153.84,,75,,
9,,2019-10-08T20:05:03.377+03:00,GET,http://ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,491,3974,,,1,39,0,100,1,34,-1,172.217.21.234,,177,,
10,,2019-10-08T20:05:03.455+03:00,GET,http://youarelistening.to/js/code.js?random=5d9cc5d180d10,HTTP/1.1,350,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2956,,,1,31,0,427,1,0,-1,69.163.153.84,,461,value,
11,,2019-10-08T20:05:03.455+03:00,GET,http://fonts.googleapis.com/css?family=Fugaz+One,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,486,291,,,2,45,0,106,0,23,-1,216.58.207.42,,178,value,
12,,2019-10-08T20:05:03.466+03:00,GET,http://youarelistening.to/images/button_forward.png,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,image/png,,,272,910,,,0,-1,-1,29,0,-1,-1,69.163.153.84,,30,,
13,,2019-10-08T20:05:03.466+03:00,GET,http://youarelistening.to/images/button_info.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,273,3084,,,1,-1,-1,30,0,-1,-1,69.163.153.84,,31,,
14,,2019-10-08T20:05:03.502+03:00,GET,http://youarelistening.to/images/button_map.png,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,image/png,,,273,3593,,,0,-1,-1,31,0,-1,-1,69.163.153.84,,32,,
15,,2019-10-08T20:05:03.506+03:00,GET,http://youarelistening.to/images/button_sound.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,273,3969,,,2,-1,-1,33,0,-1,-1,69.163.153.84,,36,,
16,,2019-10-08T20:05:03.540+03:00,GET,http://youarelistening.to/images/button_list.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,273,2976,,,0,-1,-1,36,0,-1,-1,69.163.153.84,,37,,
17,,2019-10-08T20:05:03.548+03:00,GET,http://youarelistening.to/images/button_share.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,273,1204,,,0,-1,-1,39,0,-1,-1,69.163.153.84,,40,,
18,,2019-10-08T20:05:03.583+03:00,GET,http://youarelistening.to/images/button_fs.png,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,image/png,,,273,1038,,,0,-1,-1,46,0,-1,-1,69.163.153.84,,47,,
19,,2019-10-08T20:05:03.594+03:00,GET,http://youarelistening.to/images/icon_fb.png,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,image/png,,,272,509,,,0,-1,-1,35,0,-1,-1,69.163.153.84,,36,,
20,,2019-10-08T20:05:03.641+03:00,GET,http://youarelistening.to/images/icon_tumblr.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,274,9560,,,3,-1,-1,43,0,-1,-1,69.163.153.84,,46,,
21,,2019-10-08T20:05:03.642+03:00,GET,http://youarelistening.to/images/icon_twitter.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,274,4414,,,2,-1,-1,42,0,-1,-1,69.163.153.84,,45,,
22,,2019-10-08T20:05:03.698+03:00,GET,http://youarelistening.to/images/bg_losangeles.jpg,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,image/jpeg,,,277,89815,,,147,-1,-1,42,0,-1,-1,69.163.153.84,,190,,
23,,2019-10-08T20:05:03.719+03:00,GET,http://youarelistening.to/images/icon_reddit.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,275,61582,,,88,-1,-1,59,0,-1,-1,69.163.153.84,,147,,
24,,2019-10-08T20:05:03.870+03:00,GET,http://youarelistening.to/images/icon_gplus.png,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,image/png,,,273,2025,,,0,-1,-1,32,0,-1,-1,69.163.153.84,,33,,
25,,2019-10-08T20:05:03.893+03:00,GET,http://youarelistening.to/images/icon_email.png,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,image/png,,,273,3027,,,0,-1,-1,30,0,-1,-1,69.163.153.84,,31,,
26,,2019-10-08T20:05:03.908+03:00,GET,http://youarelistening.to/images/icon_soundcloud.png,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,image/png,,,274,4519,,,1,-1,-1,28,0,-1,-1,69.163.153.84,,30,,
