,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T13:07:50.133+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,921,6975,,,10,2226,0,138,2185,3,519,13.225.250.134,,2899,,
1,,2019-10-11T13:07:50.701+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/png,,,621,33679,,,49,-1,-1,-1,-1,1,88,13.225.250.134,,138,,
2,,2019-10-11T13:07:50.844+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,639,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,727,2621,,,0,-1,-1,-1,-1,0,473,13.225.250.134,,474,value,
3,,2019-10-11T13:07:51.352+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/jpeg,,,624,212953,,,208,-1,-1,-1,-1,0,98,13.225.250.134,,307,,
4,,2019-10-11T13:07:53.242+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,30399,,,60,2504,0,28,2478,1,107,172.217.23.106,,2702,,
5,,2019-10-11T13:07:53.253+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33434,,,67,2404,0,0,2372,1,96,172.217.23.106,,2569,,
6,,2019-10-11T13:07:53.584+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,text/css,,,620,18134,,,26,2715,0,153,2682,1,96,13.225.250.134,,2993,,
7,,2019-10-11T13:07:53.602+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,5704,,,13,2732,0,154,2699,1,85,13.225.250.134,,2987,,
8,,2019-10-11T13:07:53.604+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,19359,,,32,1909,0,0,1876,0,85,13.225.250.134,,2028,,
9,,2019-10-11T13:07:53.705+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,20680,,,10,-1,-1,-1,-1,0,98,13.225.250.134,,109,,
10,,2019-10-11T13:07:53.728+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,6874,,,8,-1,-1,-1,-1,0,79,13.225.250.134,,88,,
11,,2019-10-11T13:07:53.819+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,619,2384,,,1,-1,-1,-1,-1,0,89,13.225.250.134,,91,,
12,,2019-10-11T13:07:53.822+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,620,7489,,,0,-1,-1,-1,-1,0,92,13.225.250.134,,94,,
13,,2019-10-11T13:07:53.916+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,619,3758,,,0,-1,-1,-1,-1,0,85,13.225.250.134,,87,,
