,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-08T19:52:18.781+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2491,8575,,,251,27,6,2155,2199,18,0,185.63.145.1,,2502,
1,,2019-10-08T19:52:20.521+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,767,14780,,,985,24,1,1366,1398,1,0,212.55.190.51,,2411,
2,,2019-10-08T19:52:20.540+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,22839,,,209,24,0,1372,1418,29,0,212.55.190.51,,1682,
3,,2019-10-08T19:52:20.545+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,804,13167,,,861,26,0,1376,1423,2,0,212.55.190.51,,2314,
4,,2019-10-08T19:52:21.554+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,49,-1,0,-1,-1,0,-1,212.55.190.51,,51,
5,,2019-10-08T19:52:22.002+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,212.55.190.51,,0,No response received
6,,2019-10-08T19:52:22.005+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,202,,,35,-1,0,-1,-1,0,-1,212.55.190.51,,37,
7,,2019-10-08T19:52:22.010+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,315,,,32,-1,0,-1,-1,0,-1,212.55.190.51,,33,
8,,2019-10-08T19:52:22.041+03:00,GET,https://www.linkedin.com/litms/api/metadata/user,HTTP/1.1,669,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,185.63.145.1,,0,No response received
9,,2019-10-08T19:52:22.050+03:00,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,0,-1,1,-1,-1,0,-1,212.55.190.51,,1,No response received
