,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:14:52.545+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,45,0,20,3,3,423,-1,75.119.198.160,,495,,
1,,2019-10-08T18:14:53.094+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,-1,-1,419,-1,7,256,-1,75.119.198.160,,683,,
2,,2019-10-08T18:14:53.104+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,3363,,,31,0,1,2,2,435,-1,75.119.198.160,,472,,
3,,2019-10-08T18:14:53.105+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,317,11718,,,31,0,1,2,2,421,-1,75.119.198.160,,459,,
4,,2019-10-08T18:14:53.105+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,314,353,,,31,0,0,2,2,417,-1,75.119.198.160,,454,,
5,,2019-10-08T18:14:53.105+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2096,,,30,0,0,2,1,423,-1,75.119.198.160,,459,,
6,,2019-10-08T18:14:53.107+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,300,885,,,29,0,0,1,1,435,-1,75.119.198.160,,469,,
7,,2019-10-08T18:14:55.608+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,1586,0,49,0,1,100,1555,172.217.22.110,,1739,,
8,,2019-10-08T18:14:55.827+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1580812563&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=988130188&utmr=-&utmp=%2F&utmht=1570547695817&utmac=UA-353220-16&utmcc=__utma%3D133079244.2112743080.1570547696.1570547696.1570547696.1%3B%2B__utmz%3D133079244.1570547696.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1859855700&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,853,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,1,-1,1,113,-1,172.217.22.110,,116,value,
9,,2019-10-08T18:14:55.969+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,561,0,,0,,unknown,0,,,,-1,-1,,,41,-1,0,-1,0,0,-1,75.119.198.160,,42,,No response received
