,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time
0,,2019-09-28T19:21:25.140+03:00,GET,https://www.ineedaprompt.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,270,14107,,,11195,675,5,387,10,11382,0,192.241.177.50,,12460
1,,2019-09-28T19:21:25.606+03:00,GET,https://www.ineedaprompt.com/styles.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,327,5635,,,-1,-1,1,536,0,-1,-1,192.241.177.50,,539
2,,2019-09-28T19:21:25.986+03:00,GET,https://www.ineedaprompt.com/ineedaprompt.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,7890,,,191,0,2,174,0,358,0,192.241.177.50,,536
3,,2019-09-28T19:21:25.986+03:00,GET,https://www.ineedaprompt.com/script.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,4454,,,191,0,4,174,0,359,0,192.241.177.50,,539
