,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T18:57:30.436+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6207,14266,,,3,3939,218,18,88,4039,0,104.244.42.129,,4368,,
1,,2019-09-28T18:57:30.765+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2482,,,0,-1,195,-1,2,-1,-1,104.244.42.129,,199,value,
2,,2019-09-28T18:57:32.803+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,577,35309,,,1,1985,90,18,176,2081,0,192.229.233.50,,2367,,
3,,2019-09-28T18:57:32.803+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,43389,,,1,1990,96,11,179,2082,0,192.229.233.50,,2371,,
4,,2019-09-28T18:57:32.820+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,38631,,,1,2006,92,12,278,2099,0,192.229.233.50,,2482,,
5,,2019-09-28T18:57:32.821+03:00,GET,https://abs.twimg.com/k/en/init.en.77c56452e473e94d573f.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,607,180312,,,0,2007,94,17,465,2100,0,192.229.233.50,,2678,,
6,,2019-09-28T18:57:32.838+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,608,249858,,,0,2021,82,12,507,2116,0,192.229.233.50,,2720,,
7,,2019-09-28T18:57:33.401+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2022,,,0,-1,245,-1,1,-1,-1,104.244.42.129,,248,value,
8,,2019-09-28T18:57:33.633+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,605,21560,,,0,-1,84,-1,16,-1,-1,192.229.233.50,,102,,
9,,2019-09-28T18:57:33.808+03:00,GET,https://abs.twimg.com/a/1569522150/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,542,25892,,,1,268,727,0,90,400,0,192.229.233.50,,1219,,
10,,2019-09-28T18:57:40.683+03:00,GET,https://analytics.twitter.com/tpm/p?_=1569686253521,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,1,5504,194,1049,0,5585,0,104.244.42.3,,6830,value,
11,,2019-09-28T18:57:41.403+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1569686254051%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,1,4166,205,0,0,7297,0,104.244.42.200,,7506,value,
12,,2019-09-28T18:57:41.685+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,914,5087,,200,OK,HTTP/1.1,0,,,,1044,0,,,0,-1,248,-1,0,-1,-1,104.244.42.129,,249,value,
13,,2019-09-28T18:57:41.747+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,0,7609,434,0,66,7687,0,172.217.18.14,,8189,,
14,,2019-09-28T18:57:42.284+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=2122266763&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=1766118348&gjid=1065708881&cid=1205329006.1569686262&tid=UA-30775-6&_gid=2141102582.1569686262&_r=1&z=1606174298,HTTP/1.1,696,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=1205329006.1569686262&jid=1766118348&_gid=2141102582.1569686262&gjid=1065708881&_v=j79&z=1606174298,617,417,,,0,-1,87,-1,0,-1,-1,172.217.18.14,,88,value,
15,,2019-09-28T18:57:42.377+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,989,4876,,0,,unknown,0,,,,-1,-1,,,2,-1,0,-1,0,-1,-1,104.244.42.129,,2,value,No response received
