,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time
0,,2019-10-11T14:05:16.282+03:00,GET,https://www.ineedaprompt.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,270,14072,,,5,233,218,2859,0,2897,13,192.241.177.50,,3368
1,,2019-10-11T14:05:16.571+03:00,GET,https://www.ineedaprompt.com/styles.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,327,5635,,,2,171,-1,-1,-1,-1,1,192.241.177.50,,175
2,,2019-10-11T14:05:16.758+03:00,GET,https://www.ineedaprompt.com/ineedaprompt.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,7890,,,2,173,-1,-1,-1,-1,1,192.241.177.50,,177
3,,2019-10-11T14:05:16.885+03:00,GET,https://www.ineedaprompt.com/script.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,4454,,,3,178,0,274,0,307,1,192.241.177.50,,491
