,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.blocked,timings.connect,timings.receive,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:31:02.528+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,-1,0,43,135,321,3,108,52.216.169.130,,611,,
1,,2019-10-08T18:31:03.092+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,-1,0,40,9,327,2,4,52.216.169.130,,384,,
2,,2019-10-08T18:31:03.093+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,-1,0,32,128,313,0,3,52.216.169.130,,478,,
3,,2019-10-08T18:31:03.096+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,-1,0,39,1,321,1,1,52.216.169.130,,365,,
4,,2019-10-08T18:31:03.097+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,-1,0,39,132,320,1,0,52.216.169.130,,495,,
5,,2019-10-08T18:31:03.099+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,-1,0,38,309,336,2,0,52.216.169.130,,687,,
6,,2019-10-08T18:31:03.160+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,-1,-1,-1,6,316,0,-1,52.216.169.130,,324,,
7,,2019-10-08T18:31:03.466+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,-1,-1,-1,116,179,0,-1,52.216.169.130,,296,,
8,,2019-10-08T18:31:03.485+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,-1,-1,-1,171,171,0,-1,52.216.169.130,,344,,
9,,2019-10-08T18:31:03.489+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,-1,-1,-1,383,183,0,-1,52.216.169.130,,567,,
10,,2019-10-08T18:31:03.573+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,-1,-1,-1,0,180,0,-1,52.216.169.130,,181,,
11,,2019-10-08T18:31:03.595+03:00,GET,http://weavesilk.com/js/noise.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,8599,,,-1,-1,-1,0,184,0,-1,52.216.169.130,,185,,
12,,2019-10-08T18:31:03.757+03:00,GET,http://weavesilk.com/js/detect.js,HTTP/1.1,316,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,2930,,,-1,-1,-1,0,235,0,-1,52.216.169.130,,236,,
13,,2019-10-08T18:31:03.764+03:00,GET,http://weavesilk.com/js/site.js,HTTP/1.1,314,0,,200,OK,HTTP/1.1,0,text/javascript,,,344,97870,,,-1,-1,-1,267,178,0,-1,52.216.169.130,,446,,
14,,2019-10-08T18:31:03.998+03:00,GET,http://weavesilk.com/img/announcement.png,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,image/png,,,371,110729,,,-1,-1,-1,260,193,31,-1,52.216.169.130,,485,,
15,,2019-10-08T18:31:04.219+03:00,GET,http://weavesilk.com/img/announcement_hover.png,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/png,,,371,110451,,,-1,-1,-1,135,186,0,-1,52.216.169.130,,322,,
16,,2019-10-08T18:31:04.219+03:00,GET,http://weavesilk.com/img/draw_something.png,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,image/png,,,370,13629,,,-1,-1,-1,2,184,0,-1,52.216.169.130,,186,,
17,,2019-10-08T18:31:04.219+03:00,GET,http://weavesilk.com/img/silk_text.png,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,image/png,,,370,25288,,,-1,-1,-1,10,171,0,-1,52.216.169.130,,182,,
18,,2019-10-08T18:31:04.302+03:00,GET,http://platform.twitter.com/widgets.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,506,28700,,,-1,0,21,36,114,0,28,93.184.220.66,,201,,
19,,2019-10-08T18:31:04.437+03:00,GET,http://weavesilk.com/font/DINWeb.woff,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,554,30972,,,-1,-1,-1,126,196,0,-1,52.216.169.130,,322,,
