,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:04:23.703+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,99,2,656,2693,2728,4,0,217.160.0.94,,3492,
1,,2019-10-08T18:04:24.396+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,-1,1,132,-1,-1,7,-1,217.160.0.94,,140,
2,,2019-10-08T18:04:24.549+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,-1,1,122,-1,-1,0,-1,217.160.0.94,,123,
3,,2019-10-08T18:04:24.676+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,-1,0,133,-1,-1,0,-1,217.160.0.94,,135,
4,,2019-10-08T18:04:24.754+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,0,1,115,313,342,0,0,217.160.0.94,,460,
5,,2019-10-08T18:04:24.758+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,0,1,208,319,348,34,0,217.160.0.94,,593,
6,,2019-10-08T18:04:24.758+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,0,1,112,328,354,0,0,217.160.0.94,,468,
7,,2019-10-08T18:04:24.760+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,0,1,110,320,349,0,0,217.160.0.94,,461,
8,,2019-10-08T18:04:25.863+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,32954,,,26,0,125,1394,1433,69,0,172.217.21.234,,1654,
9,,2019-10-08T18:04:28.548+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,29,1,83,2300,2338,38,0,172.217.22.72,,2490,
