,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T13:09:13.705+03:00,POST,https://collector-pxasqjfz9w.perimeterx.net/api/v2/collector/beacon,HTTP/1.1,541,438,,200,OK,HTTP/1.1,0,,,,396,0,,,-1,-1,0,0,117,-1,-1,35.190.10.112,,118,
1,,2019-10-11T13:09:13.706+03:00,GET,https://www.duolingo.com/,HTTP/1.1,1287,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,951,2246,,,-1,-1,0,0,218,-1,-1,3.219.183.180,,219,
2,,2019-10-11T13:09:13.958+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61699,,,-1,-1,96,0,161,-1,-1,13.226.6.164,,257,
3,,2019-10-11T13:09:13.959+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,314477,,,-1,-1,133,0,92,-1,-1,13.226.6.164,,225,
4,,2019-10-11T13:09:16.509+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25480,,,-1,-1,44,0,117,-1,-1,13.226.6.164,,162,
5,,2019-10-11T13:09:16.510+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,292564,,,-1,-1,213,0,118,-1,-1,13.226.6.164,,332,
6,,2019-10-11T13:09:16.954+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-TX6Z97C,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,22078,,,-1,-1,31,0,110,-1,-1,216.58.207.72,,143,value
7,,2019-10-11T13:09:17.026+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,771,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,0,284,-1,-1,52.73.238.209,,285,
8,,2019-10-11T13:09:17.030+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570788557026,HTTP/1.1,1219,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1207,,,-1,-1,0,0,175,-1,-1,3.219.183.180,,176,value
9,,2019-10-11T13:09:17.032+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,1314,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,-1,-1,0,0,200,-1,-1,3.219.183.180,,201,
10,,2019-10-11T13:09:17.035+03:00,GET,https://client.perimeterx.net/PXAsQJFZ9W/main.min.js,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,617,26764,,,-1,-1,35,0,96,-1,-1,151.101.18.110,,132,
