,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T16:09:30.453+03:00,POST,https://www.taringa.net/apiv7/track/story/impression,HTTP/1.1,896,40,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,104.16.250.39,,0,
1,,2019-10-12T16:09:31.288+03:00,GET,https://www.taringa.net/,HTTP/1.1,862,0,,503,Service Unavailable,HTTP/1.1,0,text/html; charset=utf-8,,,445,1699,,,,-1,-1,0,7695,0,-1,-1,104.16.250.39,,7696,
2,,2019-10-12T16:09:37.381+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.taringa.net,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,,1,320,0,105,0,0,348,172.217.16.130,,456,value
3,,2019-10-12T16:09:38.999+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjst-g6CB-zGRDT6HOuCT_aqrfpYiJmUgE1vctTF_Rgu5QHVoLcRijt-AIs7rl8kkSNy4yeVsnWea1qMdIUS7gjCEXSqYT2O_v9AKuMMDeZo&sig=Cg0ArKJSzF4KcVt4ADt6EAE&adk=2955714392&tt=-1&bs=779%2C600&mtos=16821,16821,16821,16821,16821&tos=16821,0,0,0,0&p=50,26,140,754&mcvt=16821&rs=3&ht=0&tfs=145&tls=16966&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=20&niot_cbk=38&md=2&lm=2&rst=1570885761913&rpt=118&isd=0&msd=0&oseid=3&xdi=0&xosd=1&ps=779%2C16098&ss=800%2C600&pt=-1&bin=1&deb=1-2-2-187-157-24-320-155-0-0-0&tvt=16950&r=u&id=osdtos&vs=4&uc=157&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191011",HTTP/1.1,986,0,,0,,unknown,0,,,,-1,-1,,No response received,,0,436,0,0,0,0,480,216.58.207.34,,481,value
