,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:40:37.535+03:00,GET,https://apod.nasa.gov/apod/astropix.html,HTTP/1.1,481,0,,200,OK,HTTP/1.1,0,text/html; charset=ISO-8859-1,,,269,4491,,,223,2,198,3917,3959,0,22,129.164.179.22,,4406,,
1,,2019-10-08T16:40:37.801+03:00,GET,https://apod.nasa.gov/apod/image/1910/SpritesHD_Vetter_1000.jpg,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,image/jpeg,,,329,253858,,,-1,1,166,-1,-1,-1,2296,129.164.179.22,,2464,,
2,,2019-10-08T16:40:38.839+03:00,GET,https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=NASA,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript,,,593,5059,,,152,0,96,864,893,0,7,143.204.192.21,,1150,value,
3,,2019-10-08T16:40:40.212+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1,0,92,1195,1234,0,30,172.217.22.110,,1358,,
4,,2019-10-08T16:40:40.365+03:00,POST,https://www.google-analytics.com/r/collect,HTTP/1.1,450,599,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,-1,0,172.217.22.110,,0,,No response received
