,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T19:24:34.616+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6207,14274,,,42,7889,4,366,87,0,7999,104.244.42.65,,8500,,
1,,2019-09-28T19:24:35.144+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2075,,,-1,-1,1,659,1,-1,-1,104.244.42.65,,662,value,
2,,2019-09-28T19:24:38.053+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,577,35309,,,241,2638,1,942,228,0,2744,93.184.220.70,,4158,,
3,,2019-09-28T19:24:38.081+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,43389,,,227,2667,2,913,234,0,2773,93.184.220.70,,4151,,
4,,2019-09-28T19:24:38.081+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,38631,,,239,2667,1,963,199,0,2774,93.184.220.70,,4178,,
5,,2019-09-28T19:24:38.098+03:00,GET,https://abs.twimg.com/k/en/init.en.77c56452e473e94d573f.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,607,180312,,,244,2683,5,909,689,0,2787,93.184.220.70,,4635,,
6,,2019-09-28T19:24:38.114+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,608,249858,,,242,2701,1,899,875,0,2807,93.184.220.70,,4826,,
7,,2019-09-28T19:24:39.810+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2539,,,-1,-1,1,211,1,-1,-1,104.244.42.65,,214,value,
8,,2019-09-28T19:24:40.228+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,605,21560,,,-1,-1,0,1327,16,-1,-1,93.184.220.70,,1344,,
9,,2019-09-28T19:24:40.315+03:00,GET,https://abs.twimg.com/a/1569522150/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,542,25892,,,0,396,1,404,88,0,487,93.184.220.70,,981,,
10,,2019-09-28T19:24:46.286+03:00,GET,https://analytics.twitter.com/tpm/p?_=1569687879983,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,30,4015,1,242,0,0,4097,104.244.42.195,,4373,value,
11,,2019-09-28T19:24:48.858+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1569687882160%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,19,6526,1,198,0,0,6657,104.244.42.72,,6878,value,
12,,2019-09-28T19:24:50.032+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,914,5087,,200,OK,HTTP/1.1,0,,,,1044,0,,,-1,-1,0,335,0,-1,-1,104.244.42.65,,336,value,
13,,2019-09-28T19:24:50.126+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,17,7867,1,66,70,0,7934,172.217.22.14,,8089,,
14,,2019-09-28T19:24:50.337+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1929178469&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=1983558713&gjid=753470544&cid=1342394896.1569687890&tid=UA-30775-6&_gid=270956301.1569687890&_r=1&z=143757908,HTTP/1.1,693,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=1342394896.1569687890&jid=1983558713&_gid=270956301.1569687890&gjid=753470544&_v=j79&z=143757908,614,414,,,-1,-1,1,79,0,-1,-1,172.217.22.14,,81,value,
15,,2019-09-28T19:24:50.427+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,988,4876,,0,,unknown,0,,,,-1,-1,,,-1,-1,3,0,0,-1,-1,104.244.42.65,,3,value,No response received
