,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T18:58:42.799+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,2725,6,0,190,48,2519,3,104.154.63.26,,2975,
1,,2019-09-28T18:58:43.034+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,0,-1,173,-1,-1,1,104.154.63.26,,175,
2,,2019-09-28T18:58:43.214+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,0,-1,178,-1,-1,1,104.154.63.26,,180,
3,,2019-09-28T18:58:43.401+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,-1,1,-1,179,-1,-1,0,104.154.63.26,,181,
4,,2019-09-28T18:58:46.181+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,592,33576,,,3107,149,0,77,17,3035,1,172.217.16.138,,3352,
5,,2019-09-28T18:58:47.745+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,385,,,4674,1,0,79,15,4600,1,172.217.23.170,,4771,value
6,,2019-09-28T18:58:47.747+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,690,,,4675,1,0,76,16,4604,1,172.217.23.170,,4771,value
7,,2019-09-28T18:58:47.747+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,472,,,4675,3,0,75,17,4605,0,172.217.23.170,,4772,value
8,,2019-09-28T18:58:47.884+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,323,,,-1,1,-1,78,-1,-1,0,172.217.23.170,,80,value
9,,2019-09-28T18:58:52.544+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,597,19921,,,4665,71,0,75,0,4591,1,172.217.18.104,,4814,value
10,,2019-09-28T18:58:58.000+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,5254,67,0,73,17,5172,1,172.217.23.142,,5415,
11,,2019-09-28T18:58:58.180+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=2119553348&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=190781367&gjid=138654459&cid=2091381000.1569686338&tid=UA-146934170-1&_gid=548697792.1569686338&_r=1&gtm=2wg9i1M2XBJ29&z=1090304987,HTTP/1.1,704,0,,200,OK,HTTP/1.1,0,image/gif,,,439,35,,,-1,0,-1,74,-1,-1,0,172.217.23.142,,75,value
12,,2019-09-28T18:58:59.070+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,20724,,,11086,73,0,72,13,11020,0,172.217.22.99,,11246,
13,,2019-09-28T18:58:59.071+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,20808,,,11087,76,0,76,18,11020,1,172.217.22.99,,11260,
14,,2019-09-28T18:58:59.080+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,20872,,,11094,87,0,68,18,11026,1,172.217.22.99,,11270,
