,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.dns,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T19:02:57.693+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,-1,419,8,2,21,0,39,75.119.198.160,,491,
1,,2019-10-09T19:02:58.230+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,340,57150,,,-1,59,6,-1,86,-1,-1,75.119.198.160,,152,
2,,2019-10-09T19:02:58.238+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,351,2096,,,-1,40,2,2,1,0,29,75.119.198.160,,77,
3,,2019-10-09T19:02:58.239+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,351,3363,,,-1,42,2,2,3,0,29,75.119.198.160,,81,
4,,2019-10-09T19:02:58.239+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,335,885,,,-1,40,3,1,1,0,29,75.119.198.160,,76,
5,,2019-10-09T19:02:58.240+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,352,11718,,,-1,45,3,1,4,0,28,75.119.198.160,,83,
6,,2019-10-09T19:02:58.240+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,349,353,,,-1,40,2,1,1,0,27,75.119.198.160,,73,
7,,2019-10-09T19:03:03.690+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,4975,118,1,35,57,0,5000,216.58.206.14,,5214,
8,,2019-10-09T19:03:03.895+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=2142381379&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=1825379658&utmr=-&utmp=%2F&utmht=1570636983889&utmac=UA-353220-16&utmcc=__utma%3D133079244.1760211354.1570636984.1570636984.1570636984.1%3B%2B__utmz%3D133079244.1570636984.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=848142188&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,853,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,106,0,-1,1,-1,-1,216.58.206.14,,108,value
9,,2019-10-09T19:03:04.027+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,application/javascript,,,351,3849,,,-1,40,1,-1,0,-1,-1,75.119.198.160,,41,
