,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:46:04.564+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,4270,1,3,313,0,4322,314,138.197.67.91,,4954,
1,,2019-10-08T16:46:05.213+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,-1,-1,0,169,-1,-1,0,138.197.67.91,,171,
2,,2019-10-08T16:46:05.389+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,-1,-1,0,201,-1,-1,12,138.197.67.91,,214,
3,,2019-10-08T16:46:05.401+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,253,0,0,329,0,300,298,138.197.67.91,,930,
4,,2019-10-08T16:46:05.419+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,231,0,0,289,0,299,29,138.197.67.91,,618,
5,,2019-10-08T16:46:05.424+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,236,0,0,289,0,302,144,138.197.67.91,,736,
6,,2019-10-08T16:46:06.482+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1222,0,1,320,0,1251,187,192.241.156.233,,1761,
7,,2019-10-08T16:46:06.482+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,1206,0,0,332,0,1254,185,192.241.156.233,,1774,
8,,2019-10-08T16:46:06.482+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1207,0,0,307,0,1252,181,192.241.156.233,,1743,
9,,2019-10-08T16:46:06.821+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1834,0,1,90,0,1862,57,216.58.206.14,,2012,
