,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.ssl,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T20:04:08.436+03:00,GET,https://www.pinterest.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2582,16496,,,2,36,2076,1363,2114,0,20,212.55.188.219,,3538,,
1,,2019-10-08T20:04:10.925+03:00,GET,https://i.pinimg.com/assets/js/warm.js?_=1570555291747,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,490,0,,,0,33,1001,47,1028,0,2,212.55.188.219,,1113,value,
2,,2019-10-08T20:04:11.455+03:00,GET,https://s.pinimg.com/webapp/style/common_desktop-60a558fbd03cc37851a3.css,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,text/css,,,505,37464,,,0,41,1503,103,1548,0,31,212.55.188.219,,1725,,
3,,2019-10-08T20:04:11.457+03:00,GET,https://s.pinimg.com/webapp/js/pjs-ArticlePageDesktop~AuthHomePageDesktop~BusinessAccountConvertPageDesktop~BusinessAccountCreatePageDe~5b9675e6-444627607ab40bc0e742.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,87028,,,0,0,442,101,471,0,118,212.55.188.219,,691,,
4,,2019-10-08T20:04:11.462+03:00,GET,https://s.pinimg.com/webapp/style/gestalt-1eb6cb5ea6b63c92bf18.css,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,text/css,,,504,8497,,,0,42,1509,47,1555,0,2,212.55.188.219,,1648,,
5,,2019-10-08T20:04:11.470+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountCreatePageDesktop~BusinessAccountLoginPageDesktop~FullPageSignup~LoginPageDesktop~Log~cebb6848-3b1f3ffe07df7c67160e.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,11066,,,0,41,1517,44,1564,0,1,212.55.188.219,,1651,,
6,,2019-10-08T20:04:11.472+03:00,GET,https://s.pinimg.com/webapp/js/runtime-3ec6d5cecb35b209785f.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,11657,,,0,41,1527,45,1565,0,1,212.55.188.219,,1653,,
7,,2019-10-08T20:04:11.525+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginPageDesktop~LoginPageSterling~PersonalizedLoginF~85b9c608-ec5fd418ac68cdf401f2.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,15580,,,0,-1,-1,52,-1,-1,0,212.55.188.219,,53,,
8,,2019-10-08T20:04:11.585+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginPageDesktop~LoginPageSterling~UnauthHome~UnauthI~b00e22ac-5a7580bb3413a3322f29.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,18138,,,0,-1,-1,73,-1,-1,3,212.55.188.219,,77,,
9,,2019-10-08T20:04:11.681+03:00,GET,https://s.pinimg.com/webapp/js/pjs-UnauthHome-50de49735c98b7f3e379.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,519,49571,,,0,-1,-1,63,-1,-1,20,212.55.188.219,,84,,
