,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T13:29:27.041+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,559,3,216,1590,0,16,1631,104.154.63.26,,2427,
1,,2019-10-11T13:29:27.325+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,1,220,-1,-1,1,-1,104.154.63.26,,223,
2,,2019-10-11T13:29:27.585+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,0,190,-1,-1,0,-1,104.154.63.26,,191,
3,,2019-10-11T13:29:27.707+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,1,196,333,0,0,373,104.154.63.26,,572,
4,,2019-10-11T13:29:30.162+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,36,1,117,2771,0,0,2799,172.217.23.106,,2955,value
5,,2019-10-11T13:29:30.163+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,28,0,115,2773,0,2,2800,172.217.23.106,,2948,value
6,,2019-10-11T13:29:30.165+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,35,0,114,2773,0,2,2801,172.217.23.106,,2954,value
7,,2019-10-11T13:29:31.285+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33576,,,41,0,111,3870,0,60,3910,172.217.22.106,,4125,
8,,2019-10-11T13:29:31.499+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,0,118,-1,-1,0,-1,172.217.23.106,,119,value
9,,2019-10-11T13:29:33.346+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20724,,,0,1,108,1752,0,47,1790,172.217.16.131,,1948,
10,,2019-10-11T13:29:33.347+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,0,0,111,1753,0,46,1791,172.217.16.131,,1949,
11,,2019-10-11T13:29:33.349+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,0,0,98,1754,0,53,1791,172.217.16.131,,1943,
12,,2019-10-11T13:29:34.466+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,35,0,111,2902,0,49,2931,216.58.207.72,,3129,value
