,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T17:44:06.730+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2246,,,1663,2,261,90,1701,5,0,52.4.34.154,,2061,,
1,,2019-10-11T17:44:10.342+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,523,61699,,,3191,1,161,89,3219,106,0,99.86.255.10,,3578,,
2,,2019-10-11T17:44:10.342+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,292564,,,3172,0,113,89,3217,320,0,99.86.255.10,,3742,,
3,,2019-10-11T17:44:10.344+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,537,25480,,,3176,0,99,89,3221,53,0,99.86.255.10,,3464,,
4,,2019-10-11T17:44:10.345+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,314477,,,3183,0,160,90,3221,287,0,99.86.255.10,,3760,,
5,,2019-10-11T17:44:11.085+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570805051079,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1207,,,-1,1,182,-1,-1,0,-1,52.4.34.154,,184,value,
6,,2019-10-11T17:44:11.144+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,1333,,,-1,0,85,-1,-1,0,-1,99.86.255.10,,87,,
7,,2019-10-11T17:44:11.144+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,956,,,-1,0,85,-1,-1,0,-1,99.86.255.10,,87,,
8,,2019-10-11T17:44:11.145+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,2184,,,-1,0,97,-1,-1,0,-1,99.86.255.10,,98,,
9,,2019-10-11T17:44:11.147+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,249,,,-1,1,94,-1,-1,0,-1,99.86.255.10,,96,,
10,,2019-10-11T17:44:11.238+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,698,,,-1,0,85,-1,-1,0,-1,99.86.255.10,,86,,
11,,2019-10-11T17:44:11.238+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,394,,,-1,0,84,-1,-1,0,-1,99.86.255.10,,85,,
12,,2019-10-11T17:44:11.248+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,293,,,-1,0,83,-1,-1,0,-1,99.86.255.10,,84,,
13,,2019-10-11T17:44:11.248+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,389,,,-1,0,92,-1,-1,0,-1,99.86.255.10,,93,,
14,,2019-10-11T17:44:11.273+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,-1,0,198,-1,-1,0,-1,52.4.34.154,,199,,
15,,2019-10-11T17:44:11.330+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,454,,,-1,1,116,-1,-1,0,-1,99.86.255.10,,117,,
16,,2019-10-11T17:44:11.331+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,3190,,,-1,0,101,-1,-1,12,-1,99.86.255.10,,114,,
17,,2019-10-11T17:44:11.338+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,463,,,-1,0,107,-1,-1,0,-1,99.86.255.10,,108,,
18,,2019-10-11T17:44:11.345+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,618,,,-1,0,101,-1,-1,0,-1,99.86.255.10,,102,,
19,,2019-10-11T17:44:11.438+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,3419,,,257,1,108,0,287,1,0,99.86.255.10,,399,,
20,,2019-10-11T17:44:11.459+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,2078,,,-1,0,94,-1,-1,1,-1,99.86.255.10,,96,,
21,,2019-10-11T17:44:11.650+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,993,,,-1,1,91,-1,-1,0,-1,99.86.255.10,,94,,
22,,2019-10-11T17:44:11.699+03:00,GET,https://www.duolingo.com/api/1/courses/list?_=1570805051652,HTTP/1.1,765,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,681,2917,,,307,2,297,0,343,0,0,52.4.34.154,,644,value,
23,,2019-10-11T17:44:12.048+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Bold.woff,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,709,56944,,,312,0,94,0,342,106,0,99.86.255.10,,545,,
24,,2019-10-11T17:44:12.175+03:00,GET,https://www.duolingo.com/gcm-service-worker.js,HTTP/1.1,754,0,,200,OK,HTTP/1.1,0,application/javascript,,,716,2449,,,266,1,188,0,297,0,0,52.4.34.154,,488,,
