,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T17:56:39.073+03:00,GET,http://youarelistening.to/,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,216,3765,,,22,56,0,853,3,-1,2,69.163.153.84,,939,,
1,,2019-10-11T17:56:40.070+03:00,GET,http://youarelistening.to/css/style.css,HTTP/1.1,347,0,,200,OK,HTTP/1.1,0,text/css,,,268,2286,,,0,-1,-1,250,6,-1,-1,69.163.153.84,,257,,
2,,2019-10-11T17:56:40.070+03:00,GET,http://code.jquery.com/ui/1.10.4/themes/smoothness/jquery-ui.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,392,7336,,,3,51,0,47,0,-1,28,209.197.3.24,,131,,
3,,2019-10-11T17:56:40.078+03:00,GET,http://youarelistening.to/images/button_back.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,249,906,,,1,27,0,433,1,-1,1,69.163.153.84,,466,,
4,,2019-10-11T17:56:40.078+03:00,GET,http://code.jquery.com/ui/1.10.4/jquery-ui.min.js,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,61269,,,134,50,0,110,1,-1,21,209.197.3.24,,319,,
5,,2019-10-11T17:56:40.078+03:00,GET,http://ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,487,3974,,,8,34,0,111,1,-1,37,172.217.18.10,,193,,
6,,2019-10-11T17:56:40.078+03:00,GET,http://code.jquery.com/jquery-2.1.0.min.js,HTTP/1.1,332,0,,200,OK,HTTP/1.1,0,application/javascript;charset=utf-8,,,457,29288,,,44,29,0,386,1,-1,20,209.197.3.24,,481,,
7,,2019-10-11T17:56:40.080+03:00,GET,http://youarelistening.to/images/button_pause.png,HTTP/1.1,378,0,,200,OK,HTTP/1.1,0,image/png,,,249,680,,,0,27,0,535,1,-1,0,69.163.153.84,,564,,
8,,2019-10-11T17:56:40.080+03:00,GET,http://connect.soundcloud.com/sdk.js,HTTP/1.1,333,0,,200,OK,HTTP/1.1,0,application/javascript,,,634,11652,,,10,22,0,128,0,-1,85,13.224.132.36,,247,,
9,,2019-10-11T17:56:40.082+03:00,GET,http://w.soundcloud.com/player/api.js,HTTP/1.1,328,0,,301,Moved Permanently,HTTP/1.1,0,,,https://w.soundcloud.com/player/api.js,386,0,,,1,32,0,106,1,-1,35,143.204.192.40,,176,,
10,,2019-10-11T17:56:40.153+03:00,GET,http://youarelistening.to/js/code.js?random=5da09c3d6c262,HTTP/1.1,350,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2956,,,1,33,0,435,0,-1,0,69.163.153.84,,470,value,
11,,2019-10-11T17:56:40.395+03:00,GET,http://fonts.googleapis.com/css?family=Fugaz+One,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,486,291,,,0,28,0,121,1,-1,55,216.58.207.42,,207,value,
12,,2019-10-11T17:56:40.582+03:00,GET,http://youarelistening.to/images/button_forward.png,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,image/png,,,215,910,,,0,-1,-1,271,0,-1,-1,69.163.153.84,,272,,
13,,2019-10-11T17:56:40.659+03:00,GET,http://youarelistening.to/images/button_info.png,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,image/png,,,216,3084,,,0,-1,-1,244,0,-1,-1,69.163.153.84,,245,,
14,,2019-10-11T17:56:40.662+03:00,GET,http://youarelistening.to/images/bg_losangeles.jpg,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,image/jpeg,,,225,89815,,,9110,-1,-1,505,0,-1,-1,69.163.153.84,,9615,,
