,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T17:55:53.316+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,920,6975,,,2308,0,22,2272,143,2,606,13.224.132.135,,3083,,
1,,2019-10-11T17:55:53.998+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/png,,,620,33679,,,-1,-1,65,-1,-1,1,96,13.224.132.135,,163,,
2,,2019-10-11T17:55:54.184+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,639,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,2621,,,-1,-1,0,-1,-1,0,320,13.224.132.135,,322,value,
3,,2019-10-11T17:55:54.517+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/jpeg,,,623,212953,,,-1,-1,271,-1,-1,0,92,13.224.132.135,,364,,
4,,2019-10-11T17:55:55.702+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,1668,0,1670,1642,39,1,126,209.197.3.15,,3506,,
5,,2019-10-11T17:55:55.703+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,1669,0,688,1643,31,0,102,209.197.3.15,,2493,,
6,,2019-10-11T17:55:57.165+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,text/css,,,608,18134,,,2271,0,1,2243,0,0,150,143.204.198.80,,2423,,
7,,2019-10-11T17:55:57.166+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,614,5704,,,3059,0,0,3018,111,0,138,143.204.198.80,,3310,,
8,,2019-10-11T17:55:57.170+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,19359,,,3063,0,49,3024,106,0,121,143.204.198.80,,3342,,
9,,2019-10-11T17:55:57.348+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,615,20680,,,-1,-1,4,-1,-1,0,121,143.204.198.80,,126,,
