,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T13:06:17.011+03:00,GET,https://www.youtube.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,985,43676,,,1719,2,235,19,1760,579,0,172.217.18.174,,2597,
1,,2019-10-11T13:06:17.456+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-home-page-skeleton-webp-vflFdVBW1.css,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/css,,,561,1308,,,129,1,131,0,156,3,0,172.217.18.174,,293,
2,,2019-10-11T13:06:17.456+03:00,GET,https://www.youtube.com/yts/cssbin/www-onepick-webp-vflsYL2Tr.css,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/css,,,560,329,,,129,1,131,0,156,4,0,172.217.18.174,,294,
3,,2019-10-11T13:06:17.456+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,15742,,,129,0,130,0,159,35,0,172.217.18.174,,326,
4,,2019-10-11T13:06:17.460+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,814,,,126,0,128,0,163,5,0,172.217.18.174,,298,
5,,2019-10-11T13:06:17.473+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,21439,,,139,0,122,0,175,37,0,172.217.18.174,,337,
6,,2019-10-11T13:06:17.610+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflYMS1Cf.html,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,text/html,,,616,341964,,,-1,0,93,-1,-1,327,-1,172.217.18.174,,421,
7,,2019-10-11T13:06:17.610+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,2595,,,-1,0,82,-1,-1,7,-1,172.217.18.174,,90,
8,,2019-10-11T13:06:17.611+03:00,GET,https://www.youtube.com/yts/jsbin/www-tampering-vflEgtWpA/www-tampering.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,3635,,,-1,0,91,-1,-1,1,-1,172.217.18.174,,93,
9,,2019-10-11T13:06:17.627+03:00,GET,https://www.youtube.com/yts/jsbin/www-prepopulator-vfl8hLntF/www-prepopulator.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,321,,,-1,0,98,-1,-1,0,-1,172.217.18.174,,99,
10,,2019-10-11T13:06:17.639+03:00,GET,https://www.youtube.com/yts/jsbin/spf-vflqCgDoF/spf.js,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,12228,,,-1,0,90,-1,-1,9,-1,172.217.18.174,,99,
11,,2019-10-11T13:06:17.703+03:00,GET,https://www.youtube.com/yts/jsbin/network-vflX047bV/network.js,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,4691,,,-1,0,112,-1,-1,0,-1,172.217.18.174,,113,
