,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:08:49.016+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,647,3,2191,97,2223,0,14,217.160.0.94,,2985,
1,,2019-10-08T16:08:49.729+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,135,1,-1,-1,-1,-1,9,217.160.0.94,,145,
2,,2019-10-08T16:08:49.909+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,122,0,-1,-1,-1,-1,0,217.160.0.94,,123,
3,,2019-10-08T16:08:50.037+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,115,0,-1,-1,-1,-1,0,217.160.0.94,,116,
4,,2019-10-08T16:08:50.068+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,118,3,297,0,329,0,0,217.160.0.94,,451,
5,,2019-10-08T16:08:50.068+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,123,1,298,0,330,0,0,217.160.0.94,,455,
6,,2019-10-08T16:08:50.068+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,221,1,295,0,328,0,0,217.160.0.94,,551,
7,,2019-10-08T16:08:50.071+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,113,2,295,0,332,0,0,217.160.0.94,,449,
8,,2019-10-08T16:08:52.206+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,32954,,,91,0,2436,3,2466,0,68,172.217.23.106,,2629,
9,,2019-10-08T16:08:53.898+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1780,,,120,0,1432,37,1467,0,0,31.13.92.14,,1627,
10,,2019-10-08T16:08:54.254+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=57fc55ea9fd831bf595e8439b63d6b57&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,56393,,,93,0,197,0,223,0,94,31.13.92.14,,412,value
11,,2019-10-08T16:08:54.571+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,109,1,2053,31,2082,0,30,216.58.210.8,,2254,
12,,2019-10-08T16:08:54.739+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=2025486633&utmhn=www.whatshouldireadnext.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=What%20Should%20I%20Read%20Next%3F%20Book%20recommendations%20from%20readers%20like%20you&utmhid=253596928&utmr=-&utmp=%2F&utmht=1570540134733&utmac=UA-1909811-1&utmcc=__utma%3D146589170.196383898.1570540135.1570540135.1570540135.1%3B%2B__utmz%3D146589170.1570540135.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1666203093&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,954,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,96,0,-1,-1,-1,-1,0,216.58.210.8,,97,value
13,,2019-10-08T16:08:54.747+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102023191888485051293_1570540132380&uss_type=1&uss_session=15705401323850.22804286308397903&uss_anticache=0.23677862216041645&action=uss_getstring&_=1570540132381,HTTP/1.1,942,0,,200,OK,HTTP/1.1,0,application/json,,,208,464,,,147,0,-1,-1,-1,-1,0,217.160.0.94,,149,value
14,,2019-10-08T16:08:57.336+03:00,GET,https://rcm-na.amazon-adsystem.com/e/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,612,0,,302,Found,HTTP/1.1,0,text/html; charset=iso-8859-1,,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,440,277,,,170,0,4775,140,4801,0,0,52.46.129.238,,5114,value
15,,2019-10-08T16:08:58.156+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102023191888485051293_1570540132380&uss_type=2&uss_session=15705401323850.22804286308397903&uss_anticache=0.9438909572996064&action=uss_getstring&_=1570540132382,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,523,,,171,0,-1,-1,-1,-1,0,217.160.0.94,,172,value
16,,2019-10-08T16:08:58.167+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,544,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1122,11785,,,88,0,3619,33,3646,0,7,31.13.92.14,,3776,value
17,,2019-10-08T16:08:58.335+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery1102023191888485051293_1570540132380&uss_type=3&uss_session=15705401323850.22804286308397903&uss_anticache=0.05439469256811891&action=uss_getstring&_=1570540132383,HTTP/1.1,942,0,,200,OK,HTTP/1.1,0,application/json,,,208,423,,,161,0,-1,-1,-1,-1,0,217.160.0.94,,162,value
