,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:35:23.275+03:00,GET,https://pokemonshowdown.com/,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,517,4848,,,0,1449,23,86,2,280,1408,104.18.73.2,,1843,
1,,2019-10-12T15:35:23.625+03:00,GET,https://pokemonshowdown.com/style/main.css?v14,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,text/css,,,537,2311,,,-1,-1,3,-1,1,106,-1,104.18.73.2,,112,value
2,,2019-10-12T15:35:23.742+03:00,GET,https://pokemonshowdown.com/images/pokemonshowdownbeta.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,571,7681,,,-1,-1,4,-1,2,107,-1,104.18.73.2,,114,
3,,2019-10-12T15:35:23.906+03:00,GET,https://pokemonshowdown.com/theme/fonts/fontawesome-webfont.woff?v=4.0.3,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,application/x-font-woff,,,525,44432,,,-1,-1,74,-1,0,101,-1,104.18.73.2,,176,value
4,,2019-10-12T15:35:26.063+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,2300,27,1,0,97,2265,172.217.22.110,,2427,
5,,2019-10-12T15:35:26.188+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,2529,91,33,0,111,2508,172.217.18.2,,2767,
6,,2019-10-12T15:35:26.220+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1566453188&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IGBACAABB~&jid=935018325&gjid=1351010420&cid=1902423090.1570883726&tid=UA-26211653-1&_gid=1320954036.1570883726&_r=1&z=950706958,HTTP/1.1,714,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1902423090.1570883726&jid=935018325&_gid=1320954036.1570883726&gjid=1351010420&_v=j79&z=950706958,645,418,,,-1,-1,0,-1,0,104,-1,172.217.22.110,,105,value
7,,2019-10-12T15:35:26.435+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,106,-1,0,117,-1,172.217.18.2,,224,
8,,2019-10-12T15:35:26.667+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,45,-1,0,114,-1,172.217.18.2,,160,
9,,2019-10-12T15:35:29.642+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,3217,0,1,1,100,3184,172.217.18.2,,3321,value
10,,2019-10-12T15:35:31.645+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,5204,0,0,1,100,5173,172.217.21.194,,5307,value
11,,2019-10-12T15:35:31.770+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,0,5277,3,27,0,93,5247,172.217.21.194,,5402,
12,,2019-10-12T15:35:31.770+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570883726&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570883726425&bpp=31&bdt=2829&fdt=454&idt=454&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=1184583015365&frm=20&pv=2&ga_vid=1902423090.1570883726&ga_sid=1570883727&ga_hid=1566453188&ga_fc=0&iag=0&icsg=170&dssz=9&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&oid=3&pvsid=2020333469575315&pem=342&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=1.jmx23n7m3t9n&xpc=duejHIay4w&p=https%3A//pokemonshowdown.com&dtd=517,HTTP/1.1,1387,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19765,,,0,4797,59,0,1,354,4763,172.217.21.194,,5213,value
13,,2019-10-12T15:35:31.863+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=9252930937&adk=3933521251&adf=2668242184&w=336&lmt=1570883727&guci=2.2.0.0.2.2.0.0&format=336x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&wgl=1&dt=1570883726457&bpp=12&bdt=2861&fdt=581&idt=582&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280&correlator=1184583015365&frm=20&pv=1&ga_vid=1902423090.1570883726&ga_sid=1570883727&ga_hid=1566453188&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=342&ady=1076&biw=779&bih=600&scr_x=0&scr_y=0&oid=3&pvsid=2020333469575315&pem=342&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeEbr%7C&abl=CS&pfx=0&fu=16&bc=31&ifi=2&uci=2.jor9yzr99io&xpc=aP01YGwPh8&p=https%3A//pokemonshowdown.com&dtd=587,HTTP/1.1,1361,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,-1,-1,0,-1,0,278,-1,172.217.21.194,,280,value
14,,2019-10-12T15:35:32.161+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&adk=1812271804&adf=3025194257&lmt=1570883727&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Fpokemonshowdown.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570883726469&bpp=7&bdt=2872&fdt=585&idt=585&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280%2C336x280&nras=1&correlator=1184583015365&frm=20&pv=1&ga_vid=1902423090.1570883726&ga_sid=1570883727&ga_hid=1566453188&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&oid=3&pvsid=2020333469575315&pem=342&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=2&uci=2.ernzwvn1zpgg&dtd=594,HTTP/1.1,1377,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,-1,-1,0,-1,0,93,-1,172.217.21.194,,95,value
15,,2019-10-12T15:35:32.195+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CEBedqsyhXZWcBc-WgAf--Z-IDIPsleVYp5zuwoYKv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoEqQFP0BS9EC80-YnB0xwo17nFBhMsso47udYAmDqSUn1yinV1Zl_qzPFO5yKze6pj8W8dnWnQk97jDonzOu3Ui3mobE6vMo5WOtw4IGqgVHrNHrN9cM2klY4brMb-xZDYLhyt1PwBmWrVYU4P0qdPLZx5XmenG4ir3lFGyQHit2swuozGx67K0xsSwUFXaL4vRsulyRynPt_rzshqal9o2iEgnfIlMAP9INcowATbgazmswKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQ_pAX0ggHCIBhEAEYHoAKAdgTDA&sigh=ZH09DAZ8WkI&tpd=AGWhJmt2Km87IlshMoLRAVMnaUYQst8P8ZneO6pO52ixC84Jdw,HTTP/1.1,1859,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,-1,-1,0,-1,0,98,-1,172.217.21.194,,100,value
