,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-11T17:40:02.326+03:00,GET,https://www.facebook.com/v2.6/plugins/like.php?action=like&app_id=482659988595053&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df24e582e1e54618%26domain%3Dwww.care2.com%26origin%3Dhttps%253A%252F%252Fwww.care2.com%252Ffaee79a085b1ec%26relation%3Dparent.parent&container_width=678&href=https%3A%2F%2Fwww.facebook.com%2FCare2&layout=button_count&locale=en_US&sdk=joey&share=false&show_faces=false&size=large,HTTP/1.1,value,919,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1184,13415,,,-1,0,215,-1,-1,54,-1,31.13.92.36,,270,
1,,2019-10-11T17:40:02.763+03:00,GET,https://www.care2.com/,HTTP/1.1,,929,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,392,20558,,,392,0,507,0,421,185,0,8.47.77.87,,1114,
2,,2019-10-11T17:40:04.150+03:00,GET,https://dingo.care2.com/assets/css/home_page.css?1570742660,HTTP/1.1,value,578,0,,200,OK,HTTP/1.1,0,text/css,,,381,7527,,,-1,0,96,-1,-1,2,-1,93.184.220.187,,100,
3,,2019-10-11T17:40:06.511+03:00,GET,https://dingo.care2.com/assets/css/main.css?1570742660,HTTP/1.1,value,573,0,,200,OK,HTTP/1.1,0,text/css,,,380,6964,,,-1,0,116,-1,-1,3,-1,93.184.220.187,,120,
4,,2019-10-11T17:40:06.892+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,,372,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,537,28700,,,-1,0,106,-1,-1,46,-1,93.184.220.66,,152,
5,,2019-10-11T17:40:07.054+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,,359,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,0,98,-1,-1,21,-1,172.217.22.110,,120,
6,,2019-10-11T17:40:07.364+03:00,GET,https://static.chartbeat.com/js/chartbeat.js,HTTP/1.1,,358,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,14143,,,-1,0,99,-1,-1,9,-1,143.204.191.22,,108,
7,,2019-10-11T17:40:07.400+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany.js?version=0.1.149,HTTP/1.1,value,694,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,1508,480,,,-1,0,273,-1,-1,0,-1,108.174.11.49,,274,
8,,2019-10-11T17:40:07.440+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.care2.com,HTTP/1.1,value,609,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,0,92,-1,-1,2,-1,93.184.220.66,,95,
9,,2019-10-11T17:40:07.478+03:00,POST,https://www.care2.com/servlets/user_login.php,HTTP/1.1,,1082,182,,200,OK,HTTP/1.1,0,application/json,,,635,210,,,376,0,262,0,402,0,0,8.47.77.87,,666,
