,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time
0,har_a1,2019-12-17T10:06:08.226+02:00,GET,https://www.facebook.com/pythonlang/,HTTP/1.1,1001,0,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0
1,har_a1,2019-12-17T10:06:08.351+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,930,2907,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0
