,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-12T15:05:08.052+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,251,1,0,0,101,222,31.13.92.14,,355,,
11,facebook,2019-10-12T15:05:08.162+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,140,0,-1,103,-1,31.13.92.14,,244,,
12,facebook,2019-10-12T15:05:08.227+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,-1,6,0,-1,93,-1,31.13.92.14,,100,,
13,facebook,2019-10-12T15:05:08.305+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,168,1,1,0,99,138,31.13.92.14,,269,,
14,facebook,2019-10-12T15:05:08.310+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,172,32,0,0,95,143,31.13.92.14,,302,,
15,facebook,2019-10-12T15:05:08.351+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yX/l/he_IL/GpnDJH_Vk1f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348715,,,-1,-1,165,0,-1,111,-1,31.13.92.14,,277,value,
16,facebook,2019-10-12T15:05:08.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,-1,9,0,-1,136,-1,31.13.92.14,,146,value,
17,facebook,2019-10-12T15:05:08.774+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,-1,96,1,-1,111,-1,31.13.92.14,,209,value,
18,facebook,2019-10-12T15:05:08.775+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,-1,44,0,-1,127,-1,31.13.92.14,,172,value,
19,facebook,2019-10-12T15:05:08.776+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,-1,4,0,-1,135,-1,31.13.92.14,,140,value,
