,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,response._error
0,facebook,2019-10-04T10:31:27.529+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001252656&__s=%3Aml9bb7%3A4eyv6e&__hsi=6743851547353856230-0&__spin_r=1001252656&__spin_b=trunk&__spin_t=1570175296,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1191,1188,,,-1,2179,0,-1,-1,1,-1,157.240.1.35,,2181,
1,facebook,2019-10-04T10:31:27.537+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1375,31905,,,-1,2262,0,-1,-1,61,-1,157.240.1.35,,2324,
2,facebook,2019-10-04T10:31:29.861+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1412,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1341,0,,,-1,206,0,-1,-1,0,-1,157.240.1.35,,207,
3,facebook,2019-10-04T10:31:29.869+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1498,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1341,0,,,-1,302,0,-1,-1,0,-1,157.240.1.35,,303,
4,facebook,2019-10-04T10:31:29.885+03:00,POST,https://fbsbx.com/ajax/bz,HTTP/1.1,,508,897,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,1321,126,,,-1,217,0,-1,-1,0,-1,157.240.1.35,,218,
5,facebook,2019-10-04T10:31:29.909+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/ovYa_VLUwxs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41073,,,-1,107,0,-1,-1,484,-1,157.240.1.23,,592,
6,facebook,2019-10-04T10:31:29.909+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/hEWw67cimD4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4746,,,-1,286,0,-1,-1,29,-1,157.240.1.23,,317,
7,facebook,2019-10-04T10:31:29.909+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yx/l/0,cross/z4z3a54p-s_.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36643,,,-1,314,0,-1,-1,519,-1,157.240.1.23,,834,
8,facebook,2019-10-04T10:31:29.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/8xikMkJaS9q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13081,,,-1,431,0,-1,-1,80,-1,157.240.1.23,,512,
9,facebook,2019-10-04T10:31:29.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/vmJBkZlOK0M.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17844,,,-1,529,0,-1,-1,122,-1,157.240.1.23,,652,
10,facebook,2019-10-04T10:31:29.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/-zy6OvBY62a.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3058,,,-1,511,0,-1,-1,15,-1,157.240.1.23,,527,
11,facebook,2019-10-04T10:31:30.228+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yd/l/0,cross/MaA7RJjX3Xu.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2627,,,-1,405,0,-1,-1,18,-1,157.240.1.23,,424,
12,facebook,2019-10-04T10:31:30.432+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,239,0,-1,-1,3,-1,157.240.1.23,,243,
13,facebook,2019-10-04T10:31:30.444+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yk/l/0,cross/8pSX35veXt5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5297,,,-1,237,0,-1,-1,33,-1,157.240.1.23,,271,
14,facebook,2019-10-04T10:31:30.676+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,180,0,-1,-1,0,-1,157.240.1.35,,182,
15,facebook,2019-10-04T10:31:31.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yh/l/he_IL/yprfw3HwZtn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,345678,,,-1,136,0,-1,-1,2048,-1,157.240.1.23,,2185,
16,facebook,2019-10-04T10:31:31.072+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/6UXqTaA54Jp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5226,,,-1,101,0,-1,-1,35,-1,157.240.1.23,,137,
17,facebook,2019-10-04T10:31:33.536+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9894,,,-1,153,0,-1,-1,80,-1,157.240.1.23,,234,
18,facebook,2019-10-04T10:31:33.536+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,132,0,-1,-1,20,-1,157.240.1.23,,153,
19,facebook,2019-10-04T10:31:33.544+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,224,0,-1,-1,205,-1,157.240.1.23,,430,
