,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T18:48:40.263+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,-1,-1,10,117,-1,-1,0,31.13.92.14,,128,value,
19,facebook,2019-10-11T18:48:40.263+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,-1,-1,6,120,-1,-1,0,31.13.92.14,,127,value,
20,facebook,2019-10-11T18:48:40.264+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,-1,5,115,-1,-1,0,31.13.92.14,,120,value,
21,facebook,2019-10-11T18:48:40.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,-1,-1,20,95,-1,-1,0,31.13.92.14,,117,value,
22,facebook,2019-10-11T18:48:40.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,-1,-1,4,100,-1,-1,0,31.13.92.14,,105,value,
23,facebook,2019-10-11T18:48:40.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,-1,-1,0,114,-1,-1,0,31.13.92.14,,115,value,
24,facebook,2019-10-11T18:48:40.403+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,-1,-1,30,104,-1,-1,0,31.13.92.14,,135,value,
25,facebook,2019-10-11T18:48:40.458+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,7,107,-1,-1,0,31.13.92.14,,115,value,
26,facebook,2019-10-11T18:48:40.512+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,-1,5,90,-1,-1,0,31.13.92.14,,96,value,
27,facebook,2019-10-11T18:48:40.525+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5874,,,-1,-1,3,85,-1,-1,0,31.13.92.14,,90,value,
28,facebook,2019-10-11T18:48:40.678+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,99,-1,-1,0,31.13.92.14,,100,,
29,facebook,2019-10-11T18:48:44.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,-1,-1,7,92,-1,-1,2,31.13.92.14,,103,value,
30,facebook,2019-10-11T18:48:44.065+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,4651,2,225,4626,0,0,31.13.92.36,,4880,,
31,facebook,2019-10-11T18:48:44.172+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,1,191,-1,-1,0,31.13.92.36,,192,,
32,facebook,2019-10-11T18:48:44.374+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,2,198,-1,-1,2,31.13.92.36,,203,,
33,facebook,2019-10-11T18:48:46.865+03:00,GET,https://cx.atdmt.com/?f=AYxyCyt21RdsOUcn9EtaFWcSHM509JvQXZYWBGQG-s_GW0PZ2iJ4bYGGJSJ_NLwx_uR2l-pwyW9as3WML4wK6YUp&c=1506985852&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,2206,0,137,2177,37,0,31.13.92.2,,2382,value,
34,facebook,2019-10-11T18:48:47.464+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43431,,,0,3048,122,278,3014,0,0,31.13.92.36,,3451,value,
35,facebook,2019-10-11T18:48:47.786+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,1,91,-1,-1,1,31.13.92.14,,93,value,
36,facebook,2019-10-11T18:48:47.786+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,-1,86,108,-1,-1,1,31.13.92.14,,195,value,
37,facebook,2019-10-11T18:48:47.788+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,-1,46,94,-1,-1,1,31.13.92.14,,142,value,
38,facebook,2019-10-11T18:48:47.789+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,-1,51,101,-1,-1,0,31.13.92.14,,153,value,
39,facebook,2019-10-11T18:48:50.581+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4958,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,199,-1,-1,0,31.13.92.36,,200,,
40,facebook,2019-10-11T18:48:50.634+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,2848,4,101,2813,1,0,172.217.21.228,,2955,,
41,facebook,2019-10-11T18:48:50.848+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,-1,274,117,-1,-1,0,31.13.92.14,,392,value,
42,facebook,2019-10-11T18:48:50.848+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,-1,17,98,-1,-1,0,31.13.92.14,,116,value,
43,facebook,2019-10-11T18:48:50.849+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,-1,4,90,-1,-1,0,31.13.92.14,,95,value,
44,facebook,2019-10-11T18:48:50.849+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,-1,30,90,-1,-1,0,31.13.92.14,,121,value,
45,facebook,2019-10-11T18:48:52.727+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,1957,142,112,1927,1,0,172.217.22.35,,2214,,
46,facebook,2019-10-11T18:48:53.009+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=mpudj53ii8vp,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9458,,,-1,-1,30,127,-1,-1,0,172.217.21.228,,159,value,
47,facebook,2019-10-11T18:48:53.172+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,51,94,-1,-1,0,172.217.22.35,,146,,
48,facebook,2019-10-11T18:48:53.327+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,-1,-1,50,88,-1,-1,0,172.217.22.35,,140,,
49,facebook,2019-10-11T18:48:53.498+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,-1,5,96,-1,-1,0,172.217.21.228,,103,,
50,facebook,2019-10-11T18:48:53.603+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,-1,1,98,-1,-1,0,172.217.21.228,,100,value,
51,facebook,2019-10-11T18:48:53.651+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=qzsv5zdudg8q,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,0,149,1,99,113,0,0,172.217.21.228,,251,value,
52,facebook,2019-10-11T18:48:53.724+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,-1,-1,60,93,-1,-1,0,172.217.22.35,,154,,
53,facebook,2019-10-11T18:48:53.762+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,0,150,158,88,120,0,0,172.217.22.35,,397,,
54,facebook,2019-10-11T18:48:54.053+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=71mxay%3Ae2um96%3At2vtyn&__hsi=6746577419412428442-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570809963,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,31.13.92.36,,0,value,No response received
