,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-11T14:35:57.252+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21586,,,2091,0,49,185,2,43,2047,157.240.1.35,,2372,
1,facebook,2019-10-11T14:35:58.734+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,1129,0,107,140,1,0,1093,157.240.1.23,,1378,value
2,facebook,2019-10-11T14:35:58.742+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,1133,0,8,123,1,0,1107,157.240.1.23,,1267,value
3,facebook,2019-10-11T14:35:58.748+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,1145,0,139,94,0,0,1108,157.240.1.23,,1379,value
4,facebook,2019-10-11T14:35:58.753+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,1150,0,54,145,0,2,1122,157.240.1.23,,1354,value
5,facebook,2019-10-11T14:35:58.757+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,1148,0,12,179,0,0,1117,157.240.1.23,,1341,value
6,facebook,2019-10-11T14:35:58.759+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/b0zD_QTiHWR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1964,,,1150,0,1,163,0,0,1119,157.240.1.23,,1316,value
7,facebook,2019-10-11T14:35:58.882+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,4,110,0,-1,-1,157.240.1.23,,116,value
8,facebook,2019-10-11T14:35:58.929+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,-1,-1,4,92,0,-1,-1,157.240.1.23,,98,value
9,facebook,2019-10-11T14:35:58.955+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,-1,34,91,0,-1,-1,157.240.1.23,,126,value
10,facebook,2019-10-11T14:35:58.957+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,-1,125,93,0,-1,-1,157.240.1.23,,220,value
11,facebook,2019-10-11T14:35:59.244+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1086,1030,,,250,0,1,114,1,0,223,157.240.1.23,,367,
12,facebook,2019-10-11T14:35:59.246+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,253,0,69,109,0,0,224,157.240.1.23,,434,
