,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
16,facebook,2019-09-28T19:22:11.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,94,-1,0,-1,-1,-1,32,157.240.1.23,,128,
17,facebook,2019-09-28T19:22:11.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,102,-1,0,-1,-1,-1,24,157.240.1.23,,128,
18,facebook,2019-09-28T19:22:11.763+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,111,-1,0,-1,-1,-1,0,157.240.1.23,,112,
19,facebook,2019-09-28T19:22:11.853+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,115,-1,1,-1,-1,-1,0,157.240.1.35,,117,
20,facebook,2019-09-28T19:22:11.986+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,110,-1,1,-1,-1,-1,0,157.240.1.35,,112,
21,facebook,2019-09-28T19:22:12.288+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,90,-1,0,-1,-1,-1,0,157.240.1.23,,91,
22,facebook,2019-09-28T19:22:12.683+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43122,,,206,-1,1,-1,-1,-1,707,157.240.1.35,,914,
23,facebook,2019-09-28T19:22:12.688+03:00,GET,https://cx.atdmt.com/?f=AYwLRAsAnbQJhh0y4e_TTah3eTk6bQZgqWQAJYbNf5AHgdNLx93b4oOYsdZQMRktWqRbxfPuMNELHeB4zsB2tXz7&c=598534131&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,134,-1,0,-1,-1,-1,0,157.240.1.6,,135,
24,facebook,2019-09-28T19:22:12.930+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,91,-1,0,-1,-1,-1,70,157.240.1.23,,161,
25,facebook,2019-09-28T19:22:12.930+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,96,-1,2,-1,-1,-1,207,157.240.1.23,,306,
26,facebook,2019-09-28T19:22:12.930+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,154,-1,7,-1,-1,-1,321,157.240.1.23,,482,
27,facebook,2019-09-28T19:22:14.106+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,92,-1,0,-1,-1,-1,30,157.240.1.23,,123,
28,facebook,2019-09-28T19:22:14.107+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,92,-1,0,-1,-1,-1,18,157.240.1.23,,111,
29,facebook,2019-09-28T19:22:14.155+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,127,-1,0,-1,-1,-1,1196,157.240.1.23,,1324,
30,facebook,2019-09-28T19:22:14.173+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,93,1143,1,0,0,1231,357,172.217.23.163,,1683,
31,facebook,2019-09-28T19:22:14.234+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,90,-1,0,-1,-1,-1,4,157.240.1.23,,95,
32,facebook,2019-09-28T19:22:14.690+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=9ypbum4lmif7,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9528,,,128,-1,1,-1,-1,-1,15,216.58.205.228,,145,
33,facebook,2019-09-28T19:22:14.866+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,75,-1,1,-1,-1,-1,156,172.217.23.163,,234,
34,facebook,2019-09-28T19:22:14.867+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,78,8429,1,0,0,8496,577,172.217.23.163,,9154,
35,facebook,2019-09-28T19:22:15.708+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,72,-1,0,-1,-1,-1,5,216.58.205.228,,79,
36,facebook,2019-09-28T19:22:15.793+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,103,-1,0,-1,-1,-1,1,216.58.205.228,,105,
37,facebook,2019-09-28T19:22:15.895+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=u7phd0fh8tm0,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,94,108,1,0,0,180,3,216.58.205.228,,279,
38,facebook,2019-09-28T19:22:16.245+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,-1,,,66,-1,0,-1,-1,-1,0,172.217.23.163,,67,
39,facebook,2019-09-28T19:22:16.327+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=jv0f6g%3An27rwj%3Aoqveed&__hsi=6741761899176114117-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688762,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,157.240.1.35,,0,No response received
