,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T08:28:34.657+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31848,,,1,2593,3,207,2640,0,78,157.240.1.35,,2931,,
1,facebook,2019-10-12T08:28:36.809+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/wK5C20bCw3h.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,39766,,,29,1653,1,126,1690,0,81,157.240.1.23,,1928,value,
2,facebook,2019-10-12T08:28:36.809+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5428,,,27,1662,1,119,1691,0,5,157.240.1.23,,1845,value,
3,facebook,2019-10-12T08:28:36.822+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,27,1666,0,108,1704,0,59,157.240.1.23,,1900,value,
4,facebook,2019-10-12T08:28:36.830+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,28,1683,0,111,1711,0,44,157.240.1.23,,1896,value,
5,facebook,2019-10-12T08:28:36.833+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5578,,,29,1677,0,100,1715,0,3,157.240.1.23,,1850,value,
6,facebook,2019-10-12T08:28:36.835+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,16994,,,30,1679,0,101,1716,0,28,157.240.1.23,,1878,value,
7,facebook,2019-10-12T08:28:36.961+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,81238,,,-1,-1,0,80,-1,-1,120,157.240.1.23,,201,value,
8,facebook,2019-10-12T08:28:36.961+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,7673,,,-1,-1,0,79,-1,-1,5,157.240.1.23,,85,value,
9,facebook,2019-10-12T08:28:37.201+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,521,42565,,,0,211,1,86,227,0,82,157.240.1.23,,397,,
