,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T16:16:36.930+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,-1,37,-1,-1,0,111,-1,31.13.92.14,,149,value,
19,facebook,2019-10-12T16:16:39.947+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3294,1,0,0,0,153,3259,31.13.92.36,,3451,,
20,facebook,2019-10-12T16:16:39.960+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,-1,17,-1,-1,0,108,-1,31.13.92.14,,126,value,
21,facebook,2019-10-12T16:16:39.961+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,3,-1,-1,0,117,-1,31.13.92.14,,121,value,
22,facebook,2019-10-12T16:16:39.962+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,-1,8,-1,-1,0,92,-1,31.13.92.14,,101,value,
23,facebook,2019-10-12T16:16:39.962+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yR/l/he_IL/4kh6bTj4uVF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35505,,,-1,82,-1,-1,0,119,-1,31.13.92.14,,202,value,
24,facebook,2019-10-12T16:16:39.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/y5/l/he_IL/yVqCJSIATX8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27599,,,-1,59,-1,-1,0,112,-1,31.13.92.14,,172,value,
25,facebook,2019-10-12T16:16:39.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,6,-1,-1,0,125,-1,31.13.92.14,,132,value,
26,facebook,2019-10-12T16:16:40.063+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y7/l/he_IL/jTdnzvwnIBW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191696,,,-1,134,-1,-1,1,107,-1,31.13.92.14,,243,value,
27,facebook,2019-10-12T16:16:40.094+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yV/l/he_IL/FogCEfhCZIF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6232,,,-1,5,-1,-1,0,134,-1,31.13.92.14,,140,value,
28,facebook,2019-10-12T16:16:40.094+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yw/l/he_IL/nI2XSdw1B27.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34229,,,-1,16,-1,-1,0,129,-1,31.13.92.14,,146,value,
29,facebook,2019-10-12T16:16:40.094+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yL/l/he_IL/MiZ5VE7zW82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14384,,,-1,15,-1,-1,0,138,-1,31.13.92.14,,154,value,
30,facebook,2019-10-12T16:16:40.123+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,0,155,-1,31.13.92.36,,157,,
31,facebook,2019-10-12T16:16:40.141+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yV/l/he_IL/bhdYb1T3OBP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31964,,,-1,43,-1,-1,0,117,-1,31.13.92.14,,162,value,
