,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:07:28.371+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31831,,,2938,0,81,2901,44,182,3,31.13.92.36,,3249,,
1,facebook,2019-10-08T16:07:37.814+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,9052,0,87,9021,35,104,1,31.13.92.14,,9281,value,
2,facebook,2019-10-08T16:07:37.814+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,9049,0,5,9012,37,93,2,31.13.92.14,,9189,value,
3,facebook,2019-10-08T16:07:37.814+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,9055,0,7,9016,37,101,6,31.13.92.14,,9207,value,
4,facebook,2019-10-08T16:07:37.830+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,9050,0,75,9012,34,108,1,31.13.92.14,,9271,value,
5,facebook,2019-10-08T16:07:37.830+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,9067,0,0,9036,36,106,1,31.13.92.14,,9211,value,
6,facebook,2019-10-08T16:07:37.830+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,9065,0,8,9025,36,100,1,31.13.92.14,,9211,value,
7,facebook,2019-10-08T16:07:37.923+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,-1,1,-1,-1,97,0,31.13.92.14,,99,value,
8,facebook,2019-10-08T16:07:37.955+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,-1,-1,2,-1,-1,86,0,31.13.92.14,,89,value,
9,facebook,2019-10-08T16:07:37.955+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,-1,-1,113,-1,-1,87,0,31.13.92.14,,201,value,
10,facebook,2019-10-08T16:07:38.220+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,258,0,62,210,0,96,1,31.13.92.14,,418,,
11,facebook,2019-10-08T16:07:38.263+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,235,0,0,207,0,103,0,31.13.92.14,,340,,
12,facebook,2019-10-08T16:07:38.372+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,137,-1,-1,97,0,31.13.92.14,,235,,
13,facebook,2019-10-08T16:07:38.389+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,-1,6,-1,-1,99,0,31.13.92.14,,107,,
14,facebook,2019-10-08T16:07:38.470+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,155,0,1,121,0,91,1,31.13.92.14,,250,,
15,facebook,2019-10-08T16:07:38.488+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,174,0,34,127,0,103,0,31.13.92.14,,313,,
16,facebook,2019-10-08T16:07:38.549+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/ya/l/he_IL/Hq3do1Env69.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344900,,,-1,-1,210,-1,-1,92,0,31.13.92.14,,304,value,
17,facebook,2019-10-08T16:07:39.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9894,,,-1,-1,7,-1,-1,101,0,31.13.92.14,,109,value,
18,facebook,2019-10-08T16:07:39.043+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,-1,1,-1,-1,98,0,31.13.92.14,,100,value,
