,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-09-28T19:01:40.531+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,-1,-1,17,-1,0,-1,89,157.240.1.23,,107,value,
19,facebook,2019-09-28T19:01:40.532+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,56,-1,0,-1,96,157.240.1.23,,154,value,
20,facebook,2019-09-28T19:01:40.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,-1,121,-1,0,-1,98,157.240.1.23,,220,value,
21,facebook,2019-09-28T19:01:40.537+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,125,-1,0,-1,112,157.240.1.23,,238,value,
22,facebook,2019-09-28T19:01:40.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,-1,124,-1,0,-1,111,157.240.1.23,,236,value,
23,facebook,2019-09-28T19:01:40.543+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,-1,3,-1,0,-1,114,157.240.1.23,,118,value,
24,facebook,2019-09-28T19:01:40.641+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,-1,3,-1,0,-1,122,157.240.1.23,,127,value,
25,facebook,2019-09-28T19:01:40.680+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,-1,187,-1,0,-1,122,157.240.1.23,,310,value,
26,facebook,2019-09-28T19:01:40.689+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,-1,2,-1,0,-1,127,157.240.1.23,,130,value,
27,facebook,2019-09-28T19:01:40.693+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,-1,1,-1,0,-1,146,157.240.1.35,,148,,
28,facebook,2019-09-28T19:01:40.755+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,-1,4,-1,0,-1,97,157.240.1.23,,102,value,
29,facebook,2019-09-28T19:01:40.774+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,-1,25,-1,0,-1,94,157.240.1.23,,120,value,
30,facebook,2019-09-28T19:01:40.779+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,-1,17,-1,0,-1,100,157.240.1.23,,118,value,
31,facebook,2019-09-28T19:01:40.781+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,-1,9,-1,0,-1,108,157.240.1.23,,118,value,
32,facebook,2019-09-28T19:01:40.824+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,-1,1,-1,0,-1,93,157.240.1.23,,95,value,
33,facebook,2019-09-28T19:01:40.855+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,-1,1,-1,0,-1,113,157.240.1.35,,115,,
34,facebook,2019-09-28T19:01:40.861+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,-1,7,-1,0,-1,93,157.240.1.23,,101,value,
35,facebook,2019-09-28T19:01:40.904+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,2,-1,0,-1,90,157.240.1.23,,93,value,
36,facebook,2019-09-28T19:01:40.908+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/7IfOm1SRTox.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2116,,,-1,-1,4,-1,0,-1,89,157.240.1.23,,95,value,
37,facebook,2019-09-28T19:01:41.222+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,1,-1,0,-1,105,157.240.1.23,,106,,
38,facebook,2019-09-28T19:01:44.719+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43103,,,3371,0,204,3277,1,0,169,157.240.1.35,,3746,value,
39,facebook,2019-09-28T19:01:44.922+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,3218,0,378,97,2,0,95,157.240.1.23,,3694,value,
40,facebook,2019-09-28T19:01:44.922+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,-1,123,-1,1,-1,99,157.240.1.23,,223,value,
