,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T14:11:43.657+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,92,0,-1,-1,-1,62,-1,157.240.1.23,,155,value,
19,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,120,0,-1,-1,-1,25,-1,157.240.1.23,,147,value,
20,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,114,0,-1,-1,-1,5,-1,157.240.1.23,,120,value,
21,facebook,2019-10-11T14:11:43.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,110,0,-1,-1,-1,6,-1,157.240.1.23,,117,value,
22,facebook,2019-10-11T14:11:43.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,93,0,-1,-1,-1,18,-1,157.240.1.23,,113,value,
23,facebook,2019-10-11T14:11:43.782+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,101,0,-1,-1,-1,2,-1,157.240.1.23,,104,value,
24,facebook,2019-10-11T14:11:43.788+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,99,0,-1,-1,-1,3,-1,157.240.1.23,,102,value,
25,facebook,2019-10-11T14:11:43.811+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,97,0,-1,-1,-1,23,-1,157.240.1.23,,121,value,
26,facebook,2019-10-11T14:11:43.817+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,81,0,-1,-1,-1,3,-1,157.240.1.23,,84,value,
27,facebook,2019-10-11T14:11:43.819+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,109,0,-1,-1,-1,0,-1,157.240.1.35,,111,,
28,facebook,2019-10-11T14:11:43.892+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,102,0,-1,-1,-1,4,-1,157.240.1.23,,107,value,
29,facebook,2019-10-11T14:11:43.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,100,0,-1,-1,-1,2,-1,157.240.1.23,,104,value,
30,facebook,2019-10-11T14:11:43.935+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,101,0,-1,-1,-1,0,-1,157.240.1.35,,103,,
31,facebook,2019-10-11T14:11:44.018+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,90,0,-1,-1,-1,0,-1,157.240.1.23,,91,,
32,facebook,2019-10-11T14:11:45.742+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,111,0,-1,-1,-1,12,-1,157.240.1.23,,124,value,
33,facebook,2019-10-11T14:11:45.812+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,116,0,2823,0,2852,0,0,157.240.1.35,,2971,,
34,facebook,2019-10-11T14:11:46.064+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43643,,,217,0,2088,0,2109,138,0,157.240.1.35,,2466,value,
35,facebook,2019-10-11T14:11:46.301+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,96,0,-1,-1,-1,1,-1,157.240.1.23,,98,value,
36,facebook,2019-10-11T14:11:46.301+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,114,1,-1,-1,-1,14,-1,157.240.1.23,,130,value,
37,facebook,2019-10-11T14:11:46.301+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,98,0,-1,-1,-1,21,-1,157.240.1.23,,119,value,
38,facebook,2019-10-11T14:11:46.301+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,98,0,118,0,144,106,0,157.240.1.23,,350,value,
39,facebook,2019-10-11T14:11:46.615+03:00,GET,https://cx.atdmt.com/?f=AYzVBRD95bUABWxfB90GcJKcofI0Xiz-DRf19Q61z4k6f231z9URJqVCFoyDD-eqxp80ef-NyQUzRFAGJiy1PiIk&c=1310605919&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,187,0,2509,32,2529,0,0,157.240.1.6,,2750,value,
40,facebook,2019-10-11T14:11:48.680+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,125,0,2324,1,2375,2,0,216.58.205.228,,2506,,
41,facebook,2019-10-11T14:11:48.919+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,103,0,-1,-1,-1,168,-1,157.240.1.23,,272,value,
42,facebook,2019-10-11T14:11:48.919+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,113,0,-1,-1,-1,10,-1,157.240.1.23,,124,value,
43,facebook,2019-10-11T14:11:48.920+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,97,0,-1,-1,-1,0,-1,157.240.1.23,,98,value,
44,facebook,2019-10-11T14:11:48.920+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,96,0,-1,-1,-1,89,-1,157.240.1.23,,187,value,
45,facebook,2019-10-11T14:11:50.099+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,125,0,1223,26,1243,135,0,172.217.22.35,,1531,,
46,facebook,2019-10-11T14:11:50.385+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=hldc799cc26t,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9472,,,128,0,-1,-1,-1,18,-1,216.58.205.228,,147,value,
47,facebook,2019-10-11T14:11:50.559+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,89,0,-1,-1,-1,47,-1,172.217.22.35,,138,,
48,facebook,2019-10-11T14:11:50.706+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,100,0,111,0,143,153,0,172.217.22.35,,398,,
49,facebook,2019-10-11T14:11:51.001+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,87,0,-1,-1,-1,4,-1,216.58.205.228,,93,,
50,facebook,2019-10-11T14:11:51.096+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,99,0,-1,-1,-1,0,-1,216.58.205.228,,100,value,
51,facebook,2019-10-11T14:11:51.148+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=enj0xoqlvfzn,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,97,0,113,0,141,7,0,216.58.205.228,,247,value,
52,facebook,2019-10-11T14:11:51.214+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,93,0,-1,-1,-1,0,-1,172.217.22.35,,94,,
53,facebook,2019-10-11T14:11:51.315+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=auc72w%3Ahv7qp1%3A5biuzx&__hsi=6746506046017974014-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570793345,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,157.240.1.35,,0,value,No response received
