,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
21,facebook,2019-10-12T08:31:00.220+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38622,,,-1,0,87,-1,14,-1,-1,157.240.1.23,,102,value,
22,facebook,2019-10-12T08:31:00.220+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4096,,,-1,0,83,-1,7,-1,-1,157.240.1.23,,91,value,
23,facebook,2019-10-12T08:31:00.225+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,-1,0,93,-1,3,-1,-1,157.240.1.23,,97,value,
24,facebook,2019-10-12T08:31:00.231+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17789,,,-1,0,87,-1,30,-1,-1,157.240.1.23,,118,value,
25,facebook,2019-10-12T08:31:00.266+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,-1,0,88,-1,2,-1,-1,157.240.1.23,,91,value,
26,facebook,2019-10-12T08:31:00.316+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,-1,0,87,-1,7,-1,-1,157.240.1.23,,95,value,
27,facebook,2019-10-12T08:31:00.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,-1,0,86,-1,2,-1,-1,157.240.1.23,,90,value,
28,facebook,2019-10-12T08:31:00.492+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,92,-1,0,-1,-1,157.240.1.23,,93,,
29,facebook,2019-10-12T08:31:01.344+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,0,102,-1,10,-1,-1,157.240.1.23,,113,value,
30,facebook,2019-10-12T08:31:01.394+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1912,0,103,0,1,1944,0,157.240.1.35,,2050,,
31,facebook,2019-10-12T08:31:01.508+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,1,118,-1,1,-1,-1,157.240.1.35,,121,,
32,facebook,2019-10-12T08:31:01.639+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,1,116,-1,2,-1,-1,157.240.1.35,,120,,
33,facebook,2019-10-12T08:31:03.073+03:00,GET,https://cx.atdmt.com/?f=AYx7JeTc46aUxV05K_-VFdklcIY5VQNdjQb292EldK2PJOJrS_6iv7XvcEfIcNxDxY2B96sxbywoUW2xjflSdAZA&c=255703618&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,1232,0,135,24,0,1251,0,157.240.1.6,,1411,value,
34,facebook,2019-10-12T08:31:03.373+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43683,,,1671,0,174,0,137,1692,0,157.240.1.35,,2006,value,
35,facebook,2019-10-12T08:31:03.563+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,0,91,-1,3,-1,-1,157.240.1.23,,96,value,
36,facebook,2019-10-12T08:31:03.563+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,-1,0,103,-1,22,-1,-1,157.240.1.23,,126,value,
37,facebook,2019-10-12T08:31:03.563+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,0,93,-1,43,-1,-1,157.240.1.23,,137,value,
38,facebook,2019-10-12T08:31:03.564+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,-1,0,93,-1,56,-1,-1,157.240.1.23,,150,value,
39,facebook,2019-10-12T08:31:06.411+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2810,0,116,0,3,2846,0,172.217.21.228,,2967,,
