,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T15:39:59.312+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32303,,,2860,75,2,216,2900,80,0,31.13.92.36,,3275,,
1,facebook,2019-10-12T15:40:02.360+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,2601,32,0,125,2638,49,0,31.13.92.14,,2847,value,
2,facebook,2019-10-12T15:40:02.360+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,2610,27,0,108,2639,18,0,31.13.92.14,,2793,value,
3,facebook,2019-10-12T15:40:02.360+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,2602,29,0,152,2639,40,0,31.13.92.14,,2863,value,
4,facebook,2019-10-12T15:40:02.376+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,2613,27,0,139,2651,4,0,31.13.92.14,,2822,value,
5,facebook,2019-10-12T15:40:02.376+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,2616,27,0,103,2653,12,0,31.13.92.14,,2798,value,
6,facebook,2019-10-12T15:40:02.376+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,2626,28,0,146,2654,18,0,31.13.92.14,,2849,value,
7,facebook,2019-10-12T15:40:02.532+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,-1,0,89,-1,3,-1,31.13.92.14,,93,value,
8,facebook,2019-10-12T15:40:02.532+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81238,,,-1,-1,0,94,-1,130,-1,31.13.92.14,,225,value,
9,facebook,2019-10-12T15:40:02.766+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,189,0,0,100,217,82,0,31.13.92.14,,401,,
10,facebook,2019-10-12T15:40:02.766+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,202,0,0,107,225,1,0,31.13.92.14,,334,,
11,facebook,2019-10-12T15:40:02.907+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,0,105,-1,115,-1,31.13.92.14,,221,,
12,facebook,2019-10-12T15:40:02.962+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,-1,-1,0,110,-1,6,-1,31.13.92.14,,117,,
13,facebook,2019-10-12T15:40:03.031+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,141,0,1,104,171,1,0,31.13.92.14,,278,,
14,facebook,2019-10-12T15:40:03.031+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,140,0,0,100,171,50,0,31.13.92.14,,322,,
15,facebook,2019-10-12T15:40:03.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yj/l/he_IL/rUEIxrCQsXH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99932,,,-1,-1,0,94,-1,71,-1,31.13.92.14,,166,value,
16,facebook,2019-10-12T15:40:03.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yQ/l/he_IL/PFlPHti78iz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162900,,,-1,-1,0,91,-1,147,-1,31.13.92.14,,239,value,
