,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T16:01:20.208+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9894,,,0,-1,110,-1,10,-1,-1,31.13.92.14,,121,value,
19,facebook,2019-10-08T16:01:20.208+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,0,-1,117,-1,0,-1,-1,31.13.92.14,,118,value,
20,facebook,2019-10-08T16:01:20.209+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yD/l/he_IL/ETjJqKfg52T.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17157,,,0,-1,116,-1,37,-1,-1,31.13.92.14,,154,value,
21,facebook,2019-10-08T16:01:20.209+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,0,-1,106,-1,6,-1,-1,31.13.92.14,,112,value,
22,facebook,2019-10-08T16:01:20.212+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,0,-1,103,-1,46,-1,-1,31.13.92.14,,151,value,
23,facebook,2019-10-08T16:01:20.212+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,0,-1,103,-1,61,-1,-1,31.13.92.14,,165,value,
24,facebook,2019-10-08T16:01:20.347+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,0,-1,98,-1,16,-1,-1,31.13.92.14,,115,value,
25,facebook,2019-10-08T16:01:20.348+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,0,-1,111,-1,1,-1,-1,31.13.92.14,,113,value,
26,facebook,2019-10-08T16:01:20.348+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12193,,,0,-1,111,-1,5,-1,-1,31.13.92.14,,117,value,
27,facebook,2019-10-08T16:01:20.368+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/y7/l/he_IL/xp2pFQ4-vvd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11739,,,0,-1,106,-1,5,-1,-1,31.13.92.14,,112,value,
28,facebook,2019-10-08T16:01:20.369+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/x5pYHqT2ByM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3750,,,0,-1,100,-1,3,-1,-1,31.13.92.14,,104,value,
29,facebook,2019-10-08T16:01:20.384+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yR/l/he_IL/2QQfkxCVQB6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45874,,,0,-1,87,-1,63,-1,-1,31.13.92.14,,151,value,
30,facebook,2019-10-08T16:01:20.388+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,134,-1,1,-1,-1,31.13.92.36,,136,,
31,facebook,2019-10-08T16:01:20.467+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/h-GkR7hjZkA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4423,,,0,-1,95,-1,2,-1,-1,31.13.92.14,,98,value,
