,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,response._error
0,facebook,2019-09-28T18:58:22.236+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=%3Aeihwcw%3At71zvp&__hsi=6741755661644347393-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569687310,HTTP/1.1,value,821,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1367,1112,,,-1,-1,0,715,-1,-1,0,157.240.1.35,,716,
1,facebook,2019-09-28T18:58:22.962+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1344,31804,,,-1,-1,364,287,-1,-1,0,157.240.1.35,,652,
2,facebook,2019-09-28T18:58:23.313+03:00,POST,https://fbsbx.com/ajax/bz,HTTP/1.1,,508,892,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,1321,126,,,-1,-1,0,183,-1,-1,0,157.240.1.35,,184,
3,facebook,2019-09-28T18:58:23.328+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,-1,-1,255,424,-1,-1,0,157.240.1.23,,680,
4,facebook,2019-09-28T18:58:23.329+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,-1,-1,7,431,-1,-1,0,157.240.1.23,,439,
5,facebook,2019-09-28T18:58:23.332+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,-1,71,170,-1,-1,0,157.240.1.23,,242,
6,facebook,2019-09-28T18:58:23.332+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,-1,61,163,-1,-1,0,157.240.1.23,,225,
7,facebook,2019-09-28T18:58:23.333+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,-1,-1,4,827,-1,-1,0,157.240.1.23,,832,
8,facebook,2019-09-28T18:58:23.333+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,-1,-1,0,236,-1,-1,0,157.240.1.23,,237,
9,facebook,2019-09-28T18:58:23.564+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,-1,0,125,-1,-1,1,157.240.1.23,,127,
