,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T19:24:19.259+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31843,,,96,1102,0,37,1064,2,307,31.13.92.36,,1548,,
1,facebook,2019-10-11T19:24:21.848+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,69,2055,0,32,2017,2,115,31.13.92.14,,2274,value,
2,facebook,2019-10-11T19:24:21.849+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,5,2056,0,31,2017,1,109,31.13.92.14,,2204,value,
3,facebook,2019-10-11T19:24:21.849+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,61,2056,0,31,2026,0,132,31.13.92.14,,2283,value,
4,facebook,2019-10-11T19:24:21.853+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,50,2058,0,33,2020,0,107,31.13.92.14,,2251,value,
5,facebook,2019-10-11T19:24:21.865+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,3,2072,0,34,2042,0,111,31.13.92.14,,2223,value,
6,facebook,2019-10-11T19:24:21.866+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,31,2073,0,34,2035,0,114,31.13.92.14,,2254,value,
7,facebook,2019-10-11T19:24:21.971+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,10,-1,-1,-1,-1,0,85,31.13.92.14,,97,value,
8,facebook,2019-10-11T19:24:21.994+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,135,-1,-1,-1,-1,0,91,31.13.92.14,,227,value,
9,facebook,2019-10-11T19:24:22.245+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,70,223,0,0,194,1,100,31.13.92.14,,396,,
10,facebook,2019-10-11T19:24:22.261+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,240,0,0,210,0,92,31.13.92.14,,334,,
11,facebook,2019-10-11T19:24:22.360+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,143,-1,-1,-1,-1,0,104,31.13.92.14,,247,,
12,facebook,2019-10-11T19:24:22.424+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,13,-1,-1,-1,-1,0,95,31.13.92.14,,109,,
13,facebook,2019-10-11T19:24:22.492+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,2,163,0,0,123,1,102,31.13.92.14,,269,,
14,facebook,2019-10-11T19:24:22.492+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,37,163,0,0,124,1,100,31.13.92.14,,302,,
15,facebook,2019-10-11T19:24:22.630+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yM/l/he_IL/yKDjRJ3j-0V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347826,,,158,-1,-1,-1,-1,0,106,31.13.92.14,,265,value,
16,facebook,2019-10-11T19:24:23.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,8,-1,-1,-1,-1,0,118,31.13.92.14,,127,value,
17,facebook,2019-10-11T19:24:23.071+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,80,-1,-1,-1,-1,0,112,31.13.92.14,,193,value,
18,facebook,2019-10-11T19:24:23.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,5,-1,-1,-1,-1,0,110,31.13.92.14,,116,value,
19,facebook,2019-10-11T19:24:23.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,44,-1,-1,-1,-1,0,113,31.13.92.14,,158,value,
