,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
16,facebook,2019-09-28T19:25:41.418+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,99,0,-1,-1,-1,712,-1,157.240.1.23,,812,
17,facebook,2019-09-28T19:25:42.536+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,93,1,-1,-1,-1,15,-1,157.240.1.23,,109,
18,facebook,2019-09-28T19:25:42.536+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,100,0,-1,-1,-1,199,-1,157.240.1.23,,300,
19,facebook,2019-09-28T19:25:42.537+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,89,0,-1,-1,-1,37,-1,157.240.1.23,,128,
20,facebook,2019-09-28T19:25:42.538+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,107,0,-1,-1,-1,141,-1,157.240.1.23,,249,
21,facebook,2019-09-28T19:25:42.540+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31403,,,114,0,-1,-1,-1,142,-1,157.240.1.23,,257,
22,facebook,2019-09-28T19:25:42.561+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,103,0,-1,-1,-1,5,-1,157.240.1.23,,109,
23,facebook,2019-09-28T19:25:42.663+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,144,3,-1,-1,-1,4,-1,157.240.1.23,,152,
24,facebook,2019-09-28T19:25:42.682+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,139,0,-1,-1,-1,58,-1,157.240.1.23,,199,
25,facebook,2019-09-28T19:25:42.683+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,144,0,-1,-1,-1,4,-1,157.240.1.23,,149,
26,facebook,2019-09-28T19:25:42.736+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,117,1,-1,-1,-1,0,-1,157.240.1.35,,119,
27,facebook,2019-09-28T19:25:42.794+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,93,0,-1,-1,-1,3,-1,157.240.1.23,,98,
28,facebook,2019-09-28T19:25:42.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,100,0,-1,-1,-1,201,-1,157.240.1.23,,303,
29,facebook,2019-09-28T19:25:42.833+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,104,0,-1,-1,-1,11,-1,157.240.1.23,,116,
30,facebook,2019-09-28T19:25:42.839+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,105,0,-1,-1,-1,29,-1,157.240.1.23,,135,
31,facebook,2019-09-28T19:25:42.843+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,101,0,-1,-1,-1,10,-1,157.240.1.23,,112,
32,facebook,2019-09-28T19:25:42.863+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,137,0,-1,-1,-1,0,-1,157.240.1.35,,139,
33,facebook,2019-09-28T19:25:42.893+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,98,0,-1,-1,-1,10,-1,157.240.1.23,,110,
34,facebook,2019-09-28T19:25:42.901+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,106,0,-1,-1,-1,0,-1,157.240.1.23,,107,
35,facebook,2019-09-28T19:25:43.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,108,0,-1,-1,-1,1,-1,157.240.1.23,,110,
36,facebook,2019-09-28T19:25:43.456+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43124,,,206,0,-1,-1,-1,630,-1,157.240.1.35,,837,
37,facebook,2019-09-28T19:25:43.467+03:00,GET,https://cx.atdmt.com/?f=AYxOFZPqB_m3MWrV960Z0OFIzB34KZ5iz8zALrrotbCebQl1ypLFe-uvVDx2yzLPR2VGtdMDrB_0k5j1WM53rpmg&c=111246320&v=1&l=2,HTTP/1.1,value,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,140,1,928,10125,13238,0,0,157.240.1.6,,14309,
38,facebook,2019-09-28T19:25:43.694+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,93,0,-1,-1,-1,2,-1,157.240.1.23,,97,
39,facebook,2019-09-28T19:25:43.697+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,94,0,-1,-1,-1,84,-1,157.240.1.23,,180,
40,facebook,2019-09-28T19:25:43.698+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,104,0,-1,-1,-1,24,-1,157.240.1.23,,129,
41,facebook,2019-09-28T19:25:43.699+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,109,0,-1,-1,-1,1567,-1,157.240.1.23,,1677,
42,facebook,2019-09-28T19:25:43.707+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,64,0,19,8585,8674,1141,0,172.217.22.99,,9900,
