,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
20,facebook,2019-10-12T07:55:48.319+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,-1,326,0,160,-1,-1,31.13.92.14,,487,value,
21,facebook,2019-10-12T07:55:48.648+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38622,,,-1,-1,206,0,538,-1,-1,31.13.92.14,,745,value,
22,facebook,2019-10-12T07:55:48.661+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,107,0,0,-1,-1,157.240.1.35,,109,,
23,facebook,2019-10-12T07:55:48.764+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,-1,-1,272,0,26,-1,-1,31.13.92.14,,299,value,
24,facebook,2019-10-12T07:55:48.775+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,104,0,0,-1,-1,157.240.1.35,,106,,
25,facebook,2019-10-12T07:55:48.809+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,-1,278,0,29,-1,-1,31.13.92.14,,308,value,
26,facebook,2019-10-12T07:55:48.855+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17789,,,-1,-1,293,0,274,-1,-1,31.13.92.14,,568,value,
27,facebook,2019-10-12T07:55:49.065+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,333,0,16,-1,-1,31.13.92.14,,351,value,
28,facebook,2019-10-12T07:55:49.356+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,-1,93,0,49,-1,-1,31.13.92.14,,144,value,
29,facebook,2019-10-12T07:55:49.418+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,-1,100,0,26,-1,-1,31.13.92.14,,127,value,
