,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,response._error
17,facebook,2019-09-28T19:23:55.875+03:00,GET,https://cx.atdmt.com/?f=AYwZ_2gh8g7D_rBokfth30-SXR5GtTyek7t5h0wYslKCUe3vDwPzmWxPI2efa0t06S-MzDZiSQpPZqAbHPyuCSQV&c=125992254&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,1,138,-1,-1,0,-1,157.240.1.6,,139,
18,facebook,2019-09-28T19:24:00.240+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43126,,,0,1,218,4283,0,322,4375,157.240.1.35,,4917,
19,facebook,2019-09-28T19:24:00.496+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,0,99,-1,-1,5,-1,157.240.1.23,,105,
20,facebook,2019-09-28T19:24:00.496+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,0,113,-1,-1,60,-1,157.240.1.23,,175,
21,facebook,2019-09-28T19:24:00.606+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,0,118,-1,-1,17,-1,157.240.1.23,,136,
22,facebook,2019-09-28T19:24:00.684+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,0,105,-1,-1,136,-1,157.240.1.23,,242,
23,facebook,2019-09-28T19:24:03.567+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,2961,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,2,149,-1,-1,0,-1,157.240.1.35,,152,
24,facebook,2019-09-28T19:24:03.787+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,2,1,391,3196,0,3,3288,172.217.16.196,,3687,
25,facebook,2019-09-28T19:24:04.431+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,0,142,-1,-1,741,-1,157.240.1.23,,884,
26,facebook,2019-09-28T19:24:04.433+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,0,153,-1,-1,125,-1,157.240.1.23,,279,
27,facebook,2019-09-28T19:24:04.434+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,0,2,155,280,0,215,386,157.240.1.23,,760,
28,facebook,2019-09-28T19:24:04.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,0,2,180,293,0,2,407,157.240.1.23,,593,
29,facebook,2019-09-28T19:24:09.021+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,1,1,1036,4738,0,1705,4810,172.217.23.163,,7555,
30,facebook,2019-09-28T19:24:11.827+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=k9w7kecloi1x,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9502,,,-1,0,120,-1,-1,16,-1,172.217.16.196,,137,
31,facebook,2019-09-28T19:24:11.991+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,1,71,-1,-1,106,-1,172.217.23.163,,178,
32,facebook,2019-09-28T19:24:12.158+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,0,2,96,92,0,429,160,172.217.23.163,,689,
33,facebook,2019-09-28T19:24:12.749+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,0,69,-1,-1,10,-1,172.217.16.196,,80,
34,facebook,2019-09-28T19:24:12.835+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,0,80,-1,-1,1,-1,172.217.16.196,,83,
35,facebook,2019-09-28T19:24:12.939+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=myqayi5azjwo,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1124,,,-1,0,108,-1,-1,5,-1,172.217.16.196,,114,
36,facebook,2019-09-28T19:24:13.330+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,-1,,,-1,0,155,-1,-1,0,-1,172.217.23.163,,155,
37,facebook,2019-09-28T19:24:13.479+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=72cwjg%3Ao698ef%3Aj79il5&__hsi=6741762336692012567-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688864,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,157.240.1.35,,0,No response received
