,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,9,-1,-1,116,-1,0,31.13.92.14,,126,value,
19,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yD/l/he_IL/ETjJqKfg52T.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17157,,,-1,4,-1,-1,114,-1,0,31.13.92.14,,119,value,
20,facebook,2019-10-08T16:02:07.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,-1,38,-1,-1,91,-1,0,31.13.92.14,,130,value,
21,facebook,2019-10-08T16:02:07.587+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,-1,48,-1,-1,109,-1,0,31.13.92.14,,158,value,
22,facebook,2019-10-08T16:02:07.684+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,-1,7,-1,-1,92,-1,0,31.13.92.14,,100,value,
23,facebook,2019-10-08T16:02:07.698+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,145,-1,0,31.13.92.36,,146,,
24,facebook,2019-10-08T16:02:07.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,1,-1,-1,101,-1,0,31.13.92.14,,103,value,
25,facebook,2019-10-08T16:02:07.718+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12193,,,-1,27,-1,-1,97,-1,0,31.13.92.14,,126,value,
26,facebook,2019-10-08T16:02:07.720+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/y7/l/he_IL/xp2pFQ4-vvd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11739,,,-1,4,-1,-1,120,-1,0,31.13.92.14,,125,value,
27,facebook,2019-10-08T16:02:07.752+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/x5pYHqT2ByM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3750,,,-1,3,-1,-1,91,-1,0,31.13.92.14,,95,value,
28,facebook,2019-10-08T16:02:07.789+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yR/l/he_IL/2QQfkxCVQB6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45874,,,-1,23,-1,-1,101,-1,0,31.13.92.14,,125,value,
29,facebook,2019-10-08T16:02:07.817+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/h-GkR7hjZkA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4423,,,-1,2,-1,-1,128,-1,0,31.13.92.14,,131,value,
30,facebook,2019-10-08T16:02:07.856+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/ZexQqjnLf-h.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14509,,,-1,12,-1,-1,90,-1,0,31.13.92.14,,103,value,
31,facebook,2019-10-08T16:02:07.856+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,1,-1,-1,98,-1,0,31.13.92.14,,100,value,
32,facebook,2019-10-08T16:02:07.857+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,135,-1,0,31.13.92.36,,136,,
33,facebook,2019-10-08T16:02:07.937+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,1,-1,-1,109,-1,0,31.13.92.14,,111,value,
34,facebook,2019-10-08T16:02:08.026+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,1,1344,0,139,1309,0,31.13.92.36,,1487,,
35,facebook,2019-10-08T16:02:08.055+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,-1,99,-1,0,31.13.92.14,,101,,
36,facebook,2019-10-08T16:02:09.625+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43539,,,0,112,1492,0,229,1456,0,31.13.92.36,,1835,value,
37,facebook,2019-10-08T16:02:09.873+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,-1,88,-1,0,31.13.92.14,,89,value,
38,facebook,2019-10-08T16:02:09.874+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,30,-1,-1,85,-1,0,31.13.92.14,,116,value,
39,facebook,2019-10-08T16:02:09.874+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,128,169,0,93,134,0,31.13.92.14,,391,value,
40,facebook,2019-10-08T16:02:09.875+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,27,-1,-1,97,-1,0,31.13.92.14,,125,value,
41,facebook,2019-10-08T16:02:09.878+03:00,GET,https://cx.atdmt.com/?f=AYxPCvZADlnTyMqCfefvjLEAaQIIxxuTBpTHfcflPRivMj6KpKXklQCQ01n5DqXB4ctfadwnnNsAdVlVP9O24Dom&c=1823883450&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,1715,0,134,1671,0,31.13.92.2,,1851,value,
42,facebook,2019-10-08T16:02:12.398+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,3,2536,1,104,2503,0,172.217.18.4,,2645,,
43,facebook,2019-10-08T16:02:12.611+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,1,-1,-1,117,-1,0,31.13.92.14,,119,value,
44,facebook,2019-10-08T16:02:12.612+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,197,-1,-1,122,-1,0,31.13.92.14,,320,value,
45,facebook,2019-10-08T16:02:12.612+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,14,-1,-1,106,-1,0,31.13.92.14,,121,value,
46,facebook,2019-10-08T16:02:14.679+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,129,2150,0,108,2128,0,172.217.22.35,,2389,,
47,facebook,2019-10-08T16:02:14.949+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=d964v94dt0mt,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9749,,,-1,29,-1,-1,127,-1,0,172.217.18.4,,157,value,
48,facebook,2019-10-08T16:02:15.091+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,97,-1,-1,87,-1,0,172.217.22.35,,185,,
49,facebook,2019-10-08T16:02:15.281+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,40,-1,-1,93,-1,0,172.217.22.35,,134,,
50,facebook,2019-10-08T16:02:15.455+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,5,-1,-1,89,-1,0,172.217.18.4,,95,,
51,facebook,2019-10-08T16:02:15.552+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,1,-1,-1,101,-1,0,172.217.18.4,,103,value,
52,facebook,2019-10-08T16:02:15.607+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=nmu71h2fmz42,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,4,149,0,96,115,1,172.217.18.4,,250,value,
53,facebook,2019-10-08T16:02:15.699+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,50,-1,-1,92,-1,0,172.217.22.35,,143,,
54,facebook,2019-10-08T16:02:15.771+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=gcg0hc%3Ahf7ek7%3A6ryylz&__hsi=6745421223489040012-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540765,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,-1,0,31.13.92.36,,0,value,No response received
