,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,response._error
14,facebook,2019-09-28T19:27:00.376+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,0,-1,99,96,-1,-1,157.240.1.23,,197,
15,facebook,2019-09-28T19:27:00.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,0,-1,95,557,-1,-1,157.240.1.23,,654,
16,facebook,2019-09-28T19:27:01.658+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,1,-1,126,0,-1,-1,157.240.1.35,,128,
17,facebook,2019-09-28T19:27:01.805+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,0,-1,114,0,-1,-1,157.240.1.35,,116,
18,facebook,2019-09-28T19:27:02.065+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43127,,,-1,1,-1,195,319,-1,-1,157.240.1.35,,516,
19,facebook,2019-09-28T19:27:02.068+03:00,GET,https://cx.atdmt.com/?f=AYzmSUeoeqBqnAg-bSfTTmBJX2fhvG9GdZxh21sNAvTlrF7UDuJF2tbdfuDccxO9qPJ3v05Q5OOfXN6iJkixSv__&c=333872599&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,0,-1,129,0,-1,-1,157.240.1.6,,131,
20,facebook,2019-09-28T19:27:02.288+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,2581,4,23,77,3,2648,0,216.58.205.228,,2757,
21,facebook,2019-09-28T19:27:02.289+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,1,-1,95,5,-1,-1,157.240.1.23,,102,
22,facebook,2019-09-28T19:27:02.290+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,0,-1,104,160,-1,-1,157.240.1.23,,265,
23,facebook,2019-09-28T19:27:02.290+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,0,-1,99,57,-1,-1,157.240.1.23,,157,
24,facebook,2019-09-28T19:27:02.294+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,0,-1,126,301,-1,-1,157.240.1.23,,429,
25,facebook,2019-09-28T19:27:02.873+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,1,-1,103,868,-1,-1,157.240.1.23,,972,
