,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
26,facebook,2019-10-11T19:22:22.629+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,1,-1,0,-1,90,-1,31.13.92.14,,91,value,
27,facebook,2019-10-11T19:22:22.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,7,-1,0,-1,86,-1,31.13.92.14,,94,value,
28,facebook,2019-10-11T19:22:22.685+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,3,-1,0,-1,98,-1,31.13.92.14,,103,value,
29,facebook,2019-10-11T19:22:22.765+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,0,-1,180,-1,31.13.92.36,,182,,
30,facebook,2019-10-11T19:22:22.837+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,-1,95,-1,31.13.92.14,,96,,
31,facebook,2019-10-11T19:22:24.145+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,7,-1,0,-1,106,-1,31.13.92.14,,115,value,
32,facebook,2019-10-11T19:22:24.226+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2459,0,2416,195,0,31.13.92.36,,2656,,
33,facebook,2019-10-11T19:22:24.906+03:00,GET,https://cx.atdmt.com/?f=AYwMNxyaJ3N9C1nqx2wt_kvOa2z06OiG00AmumyN0Od-_qLVHV_JwmjzX8HA1HVNOUSKFa9zoR5p0OzO1p6jvd3k&c=64413438&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,1913,0,1892,141,30,31.13.92.2,,2086,value,
34,facebook,2019-10-11T19:22:25.575+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43436,,,0,119,2690,0,2662,279,0,31.13.92.36,,3090,value,
35,facebook,2019-10-11T19:22:25.900+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,1,-1,0,-1,108,-1,31.13.92.14,,110,value,
36,facebook,2019-10-11T19:22:25.901+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,52,-1,0,-1,109,-1,31.13.92.14,,162,value,
37,facebook,2019-10-11T19:22:25.901+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,38,-1,0,-1,111,-1,31.13.92.14,,150,value,
38,facebook,2019-10-11T19:22:25.921+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,46,-1,0,-1,95,-1,31.13.92.14,,142,value,
39,facebook,2019-10-11T19:22:29.032+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,3,3113,0,3079,114,18,172.217.18.4,,3250,,
40,facebook,2019-10-11T19:22:29.264+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,164,-1,0,-1,107,-1,31.13.92.14,,273,value,
41,facebook,2019-10-11T19:22:29.265+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,31,-1,0,-1,96,-1,31.13.92.14,,128,value,
42,facebook,2019-10-11T19:22:29.265+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,0,-1,0,-1,99,-1,31.13.92.14,,100,value,
43,facebook,2019-10-11T19:22:29.266+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,25,-1,0,-1,98,-1,31.13.92.14,,124,value,
44,facebook,2019-10-11T19:22:30.607+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,132,1435,0,1404,135,1,172.217.22.35,,1705,,
45,facebook,2019-10-11T19:22:30.901+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=z8wrr4ywp70n,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10573,,,-1,21,-1,0,-1,123,-1,172.217.18.4,,145,value,
46,facebook,2019-10-11T19:22:30.913+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3095,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,0,-1,173,-1,31.13.92.36,,174,,
47,facebook,2019-10-11T19:22:31.064+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,78,-1,1,-1,86,-1,172.217.22.35,,165,,
48,facebook,2019-10-11T19:22:31.208+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,159,141,0,117,96,0,172.217.22.35,,398,,
49,facebook,2019-10-11T19:22:31.506+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,5,-1,0,-1,92,-1,172.217.18.4,,98,,
50,facebook,2019-10-11T19:22:31.605+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=onm67y7w20jc,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1120,,,-1,0,-1,0,-1,94,-1,172.217.18.4,,95,value,
51,facebook,2019-10-11T19:22:31.650+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,142,0,110,93,0,172.217.18.4,,237,value,
52,facebook,2019-10-11T19:22:31.763+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=2i93d5%3Az2sl3w%3Ahxxj6c&__hsi=6746586096337405114-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570811983,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,0,-1,31.13.92.36,,0,value,No response received
53,facebook,2019-10-11T19:22:31.774+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,0,-1,172.217.22.35,,0,,No response received
