,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T08:18:57.947+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,0,89,-1,11,-1,-1,157.240.1.23,,102,value,
19,facebook,2019-10-12T08:18:57.947+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16069,,,-1,0,92,-1,7,-1,-1,157.240.1.23,,99,value,
20,facebook,2019-10-12T08:18:57.948+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,0,84,-1,6,-1,-1,157.240.1.23,,91,value,
21,facebook,2019-10-12T08:18:58.043+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/e__dq0qkm6O.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38673,,,-1,0,82,-1,19,-1,-1,157.240.1.23,,103,value,
22,facebook,2019-10-12T08:18:58.046+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,-1,0,92,-1,2,-1,-1,157.240.1.23,,95,value,
23,facebook,2019-10-12T08:18:58.053+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,-1,0,90,-1,5,-1,-1,157.240.1.23,,96,value,
24,facebook,2019-10-12T08:18:58.055+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17815,,,-1,0,87,-1,12,-1,-1,157.240.1.23,,100,value,
25,facebook,2019-10-12T08:18:58.058+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,-1,0,89,-1,0,-1,-1,157.240.1.23,,91,value,
26,facebook,2019-10-12T08:18:58.074+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,112,-1,1,-1,-1,157.240.1.35,,114,,
27,facebook,2019-10-12T08:18:58.144+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,0,86,-1,5,-1,-1,157.240.1.23,,92,value,
28,facebook,2019-10-12T08:18:58.157+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,-1,0,82,-1,3,-1,-1,157.240.1.23,,86,value,
29,facebook,2019-10-12T08:18:58.202+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,105,-1,0,-1,-1,157.240.1.35,,106,,
30,facebook,2019-10-12T08:18:58.330+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,84,-1,0,-1,-1,157.240.1.23,,85,,
31,facebook,2019-10-12T08:19:00.568+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47070,,,-1,0,98,-1,61,-1,-1,157.240.1.23,,160,value,
32,facebook,2019-10-12T08:19:00.619+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,39,0,110,3497,0,3541,0,157.240.1.35,,3692,,
33,facebook,2019-10-12T08:19:00.881+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43694,,,18,0,177,2460,121,2487,0,157.240.1.35,,2806,value,
34,facebook,2019-10-12T08:19:01.077+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,84,-1,0,-1,-1,157.240.1.23,,85,value,
35,facebook,2019-10-12T08:19:01.077+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,1,90,-1,37,-1,-1,157.240.1.23,,129,value,
36,facebook,2019-10-12T08:19:01.078+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,0,0,86,111,90,131,0,157.240.1.23,,309,value,
37,facebook,2019-10-12T08:19:01.078+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,-1,0,89,-1,19,-1,-1,157.240.1.23,,108,value,
38,facebook,2019-10-12T08:19:01.841+03:00,GET,https://cx.atdmt.com/?f=AYwAXysZGMasq8ddHawK9E-ZOFCISYdoKDUbuWVb7mI2zPbghscvSxdltkxD1kRqvZmRQcve3GNE0Kz33H4WJuo-&c=1313516619&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,36,0,130,3389,0,3418,0,157.240.1.6,,3587,value,
39,facebook,2019-10-12T08:19:06.366+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4898,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,104,-1,0,-1,-1,157.240.1.35,,106,,
40,facebook,2019-10-12T08:19:06.879+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,98,5777,3,5800,0,172.217.21.228,,5903,,
41,facebook,2019-10-12T08:19:07.100+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,-1,0,103,-1,136,-1,-1,157.240.1.23,,241,value,
42,facebook,2019-10-12T08:19:07.101+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17237,,,-1,0,98,-1,23,-1,-1,157.240.1.23,,122,value,
